source_iso3,destination_iso3,transport_cost_per_kg
BOL,DEU,0.3286401
BOL,ESP,0.27537683999999996
BOL,FIN,0.355911
BOL,FRA,0.30226379999999997
BOL,GBR,0.3020403
BOL,HUN,0.33467159999999996
BOL,IND,0.4825956
BOL,ITA,0.3137151
BOL,JPN,0.5089697999999999
BOL,KOR,0.5299058999999999
BOL,NLD,0.31253729999999996
BOL,NOR,0.3328584
BOL,POL,0.3430734
BOL,ROM,0.34784370000000003
BOL,RUS,0.3770355
BOL,SVK,0.3313299
BOL,SWE,0.34397459999999996
BOL,THA,0.5520306
BOL,TUR,0.3612006
BOL,USA,0.19695441
BOL,VNM,0.5724189
BOL,YUG,0.33529559999999997
BRA,AUS,0.42212399999999994
BRA,BEL,0.26954030999999995
BRA,BRA,0.032920679999999994
BRA,CAN,0.22098822
BRA,CHE,0.26688822
BRA,CHN,0.5084411999999999
BRA,CZE,0.28559049
BRA,DEU,0.28805865
BRA,ESP,0.23230613999999997
BRA,FIN,0.31870919999999997
BRA,FRA,0.2619837
BRA,GBR,0.26393483999999995
BRA,HUN,0.29018262
BRA,IND,0.4275465
BRA,ITA,0.2673954
BRA,JPN,0.530796
BRA,KOR,0.5269524
BRA,NLD,0.27363677999999997
BRA,NOR,0.29752815
BRA,POL,0.30108749999999995
BRA,ROM,0.3007323
BRA,RUS,0.3357801
BRA,SVK,0.28751787
BRA,SWE,0.30705689999999997
BRA,THA,0.49888049999999995
BRA,TUR,0.311238
BRA,USA,0.20383308
BRA,VNM,0.516222
BRA,YUG,0.28914183
BRB,AUS,0.48709620000000003
BRB,BEL,0.21212973
BRB,BRA,0.10389024
BRB,CAN,0.11715321000000001
BRB,CHE,0.21655589999999997
BRB,CHN,0.42356969999999994
BRB,CZE,0.23300688
BRB,DEU,0.23153234999999997
BRB,ESP,0.18617643
BRB,FIN,0.25373625
BRB,FRA,0.2064702
BRB,GBR,0.20351273999999997
BRB,HUN,0.24293591999999997
BRB,IND,0.4040196
BRB,ITA,0.22717775999999998
BRB,JPN,0.4270716
BRB,KOR,0.4307928
BRB,NLD,0.21432108
BRB,NOR,0.23002185
BRB,POL,0.24692672999999998
BRB,ROM,0.25995632999999996
BRB,RUS,0.27796962000000003
BRB,SVK,0.23871795
BRB,SWE,0.24206066999999998
BRB,THA,0.48986759999999996
BRB,TUR,0.27877958999999997
BRB,USA,0.10020435
BRB,VNM,0.47754840000000004
BRB,YUG,0.24654327
BRN,AUS,0.17181761999999998
BRN,BEL,0.3302595
BRN,BRA,0.5342046
BRN,CAN,0.4298985
BRN,CHE,0.3277749
BRN,CHN,0.116892
BRN,CZE,0.3102408
BRN,DEU,0.3106683
BRN,ESP,0.3604683
BRN,FIN,0.28617227999999995
BRN,FRA,0.3365799
BRN,GBR,0.3382716
BRN,HUN,0.30165179999999997
BRN,IND,0.14319273000000002
BRN,ITA,0.3201918
BRN,JPN,0.12781134
BRN,KOR,0.11476454999999999
BRN,NLD,0.32751870000000005
BRN,NOR,0.3097392
BRN,POL,0.29557095
BRN,ROM,0.28624806
BRN,RUS,0.26302548
BRN,SVK,0.3055029
BRN,SWE,0.29800757999999994
BRN,THA,0.05594727
BRN,TUR,0.26976951
BRN,USA,0.4501653
BRN,VNM,0.06126819
BRN,YUG,0.29943506999999997
BTN,AUS,0.28106472000000005
BTN,BEL,0.22108845
BTN,BRA,0.46462709999999996
BTN,CAN,0.3534498
BTN,CHE,0.21785253
BTN,CHN,0.08437683
BTN,CZE,0.20060114999999998
BTN,DEU,0.20158389
BTN,ESP,0.25041066
BTN,FIN,0.17996162999999998
BTN,FRA,0.22708059
BTN,GBR,0.22952646
BTN,HUN,0.19164606
BTN,IND,0.03708372
BTN,ITA,0.21028550999999998
BTN,JPN,0.14322537
BTN,KOR,0.10922511
BTN,NLD,0.21871791
BTN,NOR,0.20367776999999998
BTN,POL,0.18627219
BTN,ROM,0.17624601
