Year,region,scrap,inuse_sum
2032,Germany,70204.20825823356,70204.20825823356
2032,Hungary,36521.27316798127,36521.27316798127
2032,India,22208.995087649782,22208.995087649782
2032,Italy,17982.75733162556,17982.75733162556
2032,Japan,12607.236442159476,12607.236442159476
2032,Korea,19344.631095344084,19344.631095344084
2032,Netherlands,119.09110815646068,119.09110815646068
2032,Norway,12762.597090767369,12762.597090767369
2032,Poland,13695.477437992973,13695.477437992973
2032,Romania,2620.0043794421345,2620.0043794421345
2032,Russian Federation,1905.4577305033708,1905.4577305033708
2032,Serbia,2381.8221631292135,2381.8221631292135
2032,Slovakia,1190.9110815646068,1190.9110815646068
2032,Spain,8911.984593708474,8911.984593708474
2032,Sweden,15243.661844026967,15243.661844026967
2032,Switzerland,138.93962618253744,138.93962618253744
2032,Thailand,2701.093997146595,2701.093997146595
2032,Turkey,8911.984593708474,8911.984593708474
2032,USA,179418.7671387936,179418.7671387936
2032,United Kingdom,10599.108625924997,10599.108625924997
2032,Viet Nam,1800.7293314310637,1800.7293314310637
2033,Australia,2497.2137784198253,2497.2137784198253
2033,Belgium,339.7521787132418,339.7521787132418
2033,Brazil,59.457470914757735,59.457470914757735
2033,Canada,57733.20425822976,57733.20425822976
2033,China,753686.8907616562,753686.8907616562
2033,Czechia,1698.7608935662088,1698.7608935662088
2033,Finland,19252.623460417035,19252.623460417035
2033,France,17440.61184061308,17440.61184061308
2033,Germany,73046.71842334697,73046.71842334697
2033,Hungary,37901.24304756609,37901.24304756609
2033,India,23782.988365903097,23782.988365903097
2033,Italy,19082.74737106041,19082.74737106041
2033,Japan,13398.464390392885,13398.464390392885
2033,Korea,19069.1430251506,19069.1430251506
2033,Netherlands,113.25072623774724,113.25072623774724
2033,Norway,12986.083275261684,12986.083275261684
2033,Poland,13023.833517340936,13023.833517340936
2033,Romania,2491.5159772304396,2491.5159772304396
2033,Russian Federation,2038.513072279451,2038.513072279451
2033,Serbia,2491.5159772304396,2491.5159772304396
2033,Slovakia,1132.5072623774724,1132.5072623774724
2033,Spain,9324.309793574523,9324.309793574523
2033,Sweden,15515.349494571374,15515.349494571374
2033,Switzerland,132.12584727737178,132.12584727737178
2033,Thailand,2675.5861911640986,2675.5861911640986
2033,Turkey,8758.056162385788,8758.056162385788
2033,USA,199206.56520682923,199206.56520682923
2033,United Kingdom,10702.193629467116,10702.193629467116
2033,Viet Nam,1783.724127442732,1783.724127442732
2034,Australia,2861.140308712239,2861.140308712239
2034,Belgium,342.94372661879595,342.94372661879595
2034,Brazil,68.12238830267236,68.12238830267236
2034,Canada,66146.83904189485,66146.83904189485
2034,China,802126.0721814202,802126.0721814202
2034,Czechia,1714.7186330939796,1714.7186330939796
2034,Finland,19433.47784173177,19433.47784173177
2034,France,17604.444633098192,17604.444633098192
2034,Germany,73732.90122304112,73732.90122304112
2034,Hungary,38257.27794725235,38257.27794725235
2034,India,27248.955321068945,27248.955321068945
2034,Italy,19262.00597842237,19262.00597842237
2034,Japan,15087.357977761716,15087.357977761716
2034,Korea,19953.62987672524,19953.62987672524
2034,Netherlands,114.31457553959865,114.31457553959865
2034,Norway,13108.071328540645,13108.071328540645
2034,Poland,13146.176187053845,13146.176187053845
2034,Romania,2514.9206618711696,2514.9206618711696
2034,Russian Federation,2057.662359712776,2057.662359712776
2034,Serbia,2514.9206618711696,2514.9206618711696
2034,Slovakia,1143.1457553959863,1143.1457553959863
2034,Spain,9411.900052760288,9411.900052760288
2034,Sweden,15661.096848925012,15661.096848925012
2034,Switzerland,133.3670047961984,133.3670047961984
2034,Thailand,3065.5074736202564,3065.5074736202564
2034,Turkey,8840.327175062295,8840.327175062295
2034,USA,216911.74897961004,216911.74897961004
2034,United Kingdom,10802.727388492072,10802.727388492072
2034,Viet Nam,2043.6716490801705,2043.6716490801705
2035,Australia,3324.2300791215957,3324.2300791215957
2035,Belgium,366.4166175834723,366.4166175834723
2035,Brazil,79.14833521718086,79.14833521718086
2035,Canada,76853.0334958826,76853.0334958826
2035,China,840409.928144613,840409.928144613
2035,Czechia,1832.0830879173614,1832.0830879173614
2035,Finland,20763.608329730094,20763.608329730094
2035,France,18809.38636928491,18809.38636928491
2035,Germany,78779.57278044656,78779.57278044656
2035,Hungary,40875.8093393118,40875.8093393118
2035,India,31659.334086872343,31659.334086872343
2035,Italy,20580.40002093836,20580.40002093836
2035,Japan,17479.583542955126,17479.583542955126
2035,Korea,21177.421102847315,21177.421102847315
2035,Netherlands,122.13887252782409,122.13887252782409
2035,Norway,14005.257383190496,14005.257383190496
2035,Poland,14045.970340699772,14045.970340699772
2035,Romania,2687.05519561213,2687.05519561213
2035,Russian Federation,2198.4997055008344,2198.4997055008344
2035,Serbia,2687.05519561213,2687.05519561213
2035,Slovakia,1221.3887252782408,1221.3887252782408
2035,Spain,10056.10050479085,10056.10050479085
2035,Sweden,16733.0255363119,16733.0255363119
2035,Switzerland,142.49535128246143,142.49535128246143
2035,Thailand,3561.675084773138,3561.675084773138
2035,Turkey,9445.406142151729,9445.406142151729
2035,USA,243660.85201513703,243660.85201513703
2035,United Kingdom,11542.123453879378,11542.123453879378
2035,Viet Nam,2374.4500565154253,2374.4500565154253
2036,Australia,3549.7533288618956,3549.7533288618956
2036,Belgium,383.62189941860504,383.62189941860504
2036,Brazil,84.51793640147369,84.51793640147369
2036,Canada,82066.91624583094,82066.91624583094
2036,China,861921.725227601,861921.725227601
2036,Czechia,1918.109497093025,1918.109497093025
2036,Finland,21738.574300387616,21738.574300387616
2036,France,19692.590836821724,19692.590836821724
2036,Germany,82478.70837500007,82478.70837500007
2036,Hungary,42795.15411291994,42795.15411291994
2036,India,33807.174560589476,33807.174560589476
2036,Italy,21546.76335067831,21546.76335067831
2036,Japan,18756.295109889852,18756.295109889852
2036,Korea,22083.236965496704,22083.236965496704
2036,Netherlands,127.87396647286832,127.87396647286832
2036,Norway,14662.881488888903,14662.881488888903
2036,Poland,14705.506144379859,14705.506144379859
2036,Romania,2813.227262403103,2813.227262403103
2036,Russian Federation,2301.73139651163,2301.73139651163
2036,Serbia,2813.227262403103,2813.227262403103
2036,Slovakia,1278.7396647286832,1278.7396647286832
2036,Spain,10528.289906266158,10528.289906266158
2036,Sweden,17518.73340678296,17518.73340678296
2036,Switzerland,149.18629421834638,149.18629421834638
2036,Thailand,3803.307138066316,3803.307138066316
2036,Turkey,9888.920073901818,9888.920073901818
2036,USA,259453.34586063446,259453.34586063446
2036,United Kingdom,12084.089831686058,12084.089831686058
2036,Viet Nam,2535.5380920442108,2535.5380920442108
2037,Australia,3764.4108952619135,3764.4108952619135
2037,Belgium,400.5219256926231,400.5219256926231
2037,Brazil,89.62883083956936,89.62883083956936
2037,Canada,87029.59474522184,87029.59474522184
2037,China,884826.5042158859,884826.5042158859
2037,Czechia,2002.6096284631155,2002.6096284631155
2037,Finland,22696.242455915308,22696.242455915308
2037,France,20560.125518887988,20560.125518887988
2037,Germany,86112.21402391397,86112.21402391397
2037,Hungary,44680.445932821516,44680.445932821516
2037,India,35851.532335827746,35851.532335827746
2037,Italy,22495.981493068997,22495.981493068997
2037,Japan,19965.27772437951,19965.27772437951
2037,Korea,22981.739463668095,22981.739463668095
2037,Netherlands,133.5073085642077,133.5073085642077
2037,Norway,15308.838048695816,15308.838048695816
2037,Poland,15353.340484883887,15353.340484883887
2037,Romania,2937.1607884125688,2937.1607884125688
2037,Russian Federation,2403.1315541557387,2403.1315541557387
2037,Serbia,2937.1607884125688,2937.1607884125688
2037,Slovakia,1335.0730856420769,1335.0730856420769
2037,Spain,10992.1017384531,10992.1017384531
2037,Sweden,18290.501273296453,18290.501273296453
2037,Switzerland,155.75852665824226,155.75852665824226
2037,Thailand,4033.2973877806207,4033.2973877806207
2037,Turkey,10324.565195632062,10324.565195632062
2037,USA,274535.459221833,274535.459221833
2037,United Kingdom,12616.440659317628,12616.440659317628
2037,Viet Nam,2688.86492518708,2688.86492518708
2038,Australia,3970.977148088832,3970.977148088832
2038,Belgium,417.19463828672247,417.19463828672247
2038,Brazil,94.547074954496,94.547074954496
2038,Canada,91805.20978081561,91805.20978081561
2038,China,908768.5905731076,908768.5905731076
2038,Czechia,2085.9731914336116,2085.9731914336116
2038,Finland,23641.029502914265,23641.029502914265
2038,France,21415.99143205175,21415.99143205175
2038,Germany,89696.84723164531,89696.84723164531
2038,Hungary,46540.37964887437,46540.37964887437
2038,India,37818.82998179841,37818.82998179841
2038,Italy,23432.432183770907,23432.432183770907
2038,Japan,21123.824837019136,21123.824837019136
2038,Korea,23874.795942163357,23874.795942163357
2038,Netherlands,139.06487942890743,139.06487942890743
2038,Norway,15946.10617451472,15946.10617451472
2038,Poland,15992.461134324358,15992.461134324358
2038,Romania,3059.4273474359634,3059.4273474359634
2038,Russian Federation,2503.1678297203343,2503.1678297203343
2038,Serbia,3059.4273474359634,3059.4273474359634
2038,Slovakia,1390.6487942890744,1390.6487942890744
2038,Spain,11449.675072980044,11449.675072980044
2038,Sweden,19051.888481760325,19051.888481760325
2038,Switzerland,162.24235933372535,162.24235933372535
2038,Thailand,4254.61837295232,4254.61837295232
2038,Turkey,10754.35067583551,10754.35067583551
2038,USA,289088.57582556433,289088.57582556433
2038,United Kingdom,13141.631106031755,13141.631106031755
2038,Viet Nam,2836.4122486348797,2836.4122486348797
2039,Australia,4171.356022431082,4171.356022431082
2039,Belgium,433.69352548650306,433.69352548650306
2039,Brazil,99.31800053407339,99.31800053407339
2039,Canada,96437.77851858524,96437.77851858524
2039,China,933503.8995929499,933503.8995929499
2039,Czechia,2168.467627432515,2168.467627432515
2039,Finland,24575.96644423517,24575.96644423517
2039,France,22262.934308307154,22262.934308307154
2039,Germany,93244.10797959815,93244.10797959815
2039,Hungary,48380.92217649435,48380.92217649435
