,country,type,scrap,year,Strategy type
326,Belgium,NMC622,723.707038814185,2025,Strategy 3
327,Belgium,NMC811,370.3759037666815,2025,Strategy 3
328,Belgium,NMC523,1566.027645143378,2025,Strategy 3
329,Belgium,NCA,2333.4848428079617,2025,Strategy 3
330,Finland,LFP,2.7370582434105293,2025,Strategy 3
331,Finland,NMC111,490.984978636462,2025,Strategy 3
332,Finland,NMC622,246.64539921517638,2025,Strategy 3
333,Finland,NMC811,123.05787020197825,2025,Strategy 3
334,Finland,NMC523,529.7593490527078,2025,Strategy 3
335,Finland,NCA,779.904234707985,2025,Strategy 3
336,Switzerland,LFP,0.0,2025,Strategy 3
337,Switzerland,NMC111,545.3007601601282,2025,Strategy 3
338,Switzerland,NMC622,281.4360331488823,2025,Strategy 3
339,Switzerland,NMC811,186.57940803667356,2025,Strategy 3
340,Switzerland,NMC523,602.9387079565231,2025,Strategy 3
341,Switzerland,NCA,1807.2813146674528,2025,Strategy 3
342,Romania,LFP,0.1491109550971942,2025,Strategy 3
343,Romania,NMC111,26.26259465537795,2025,Strategy 3
344,Romania,NMC622,13.985614929398997,2025,Strategy 3
345,Romania,NMC811,7.759192079580195,2025,Strategy 3
346,Romania,NMC523,29.050651215148793,2025,Strategy 3
347,Romania,NCA,44.180419116982506,2025,Strategy 3
348,China,LFP,91306.99900766967,2025,Strategy 1
349,China,NMC111,37377.2939027401,2025,Strategy 1
350,China,NMC622,40092.55238952166,2025,Strategy 1
351,China,NMC811,19042.20780226504,2025,Strategy 1
352,China,NMC523,9031.167901999801,2025,Strategy 1
353,China,NCA,5081.3566096419745,2025,Strategy 1
354,India,LFP,0.0,2025,Strategy 1
355,India,NMC111,162.30104723622526,2025,Strategy 1
356,India,NMC622,86.73121297134391,2025,Strategy 1
357,India,NMC811,61.84620896309075,2025,Strategy 1
358,India,NMC523,184.6976811729158,2025,Strategy 1
359,India,NCA,554.4809508343792,2025,Strategy 1
360,Japan,LFP,0.0,2025,Strategy 1
361,Japan,NMC111,979.0150014852842,2025,Strategy 1
362,Japan,NMC622,358.73796635948986,2025,Strategy 1
363,Japan,NMC811,158.63012556232567,2025,Strategy 1
364,Japan,NMC523,908.9352007280123,2025,Strategy 1
365,Japan,NCA,2190.623093880069,2025,Strategy 1
366,Korea,LFP,14.564928122795074,2025,Strategy 1
367,Korea,NMC111,10151.640434376488,2025,Strategy 1
368,Korea,NMC622,4439.302394758371,2025,Strategy 1
369,Korea,NMC811,2284.177301754456,2025,Strategy 1
370,Korea,NMC523,10063.164786118297,2025,Strategy 1
371,Korea,NCA,24283.129475200723,2025,Strategy 1
372,Thailand,LFP,0.0,2025,Strategy 1
373,Thailand,NMC111,517.2235229248901,2025,Strategy 1
374,Thailand,NMC622,201.9827993488645,2025,Strategy 1
375,Thailand,NMC811,106.39239986617821,2025,Strategy 1
376,Thailand,NMC523,484.86481277002105,2025,Strategy 1
377,Thailand,NCA,1264.609558547867,2025,Strategy 1
378,Viet Nam,LFP,0.0,2025,Strategy 1
379,Viet Nam,NMC111,630.4294275971235,2025,Strategy 1
380,Viet Nam,NMC622,232.18465340045665,2025,Strategy 1
381,Viet Nam,NMC811,92.23796174607374,2025,Strategy 1
382,Viet Nam,NMC523,571.6040069363997,2025,Strategy 1
383,Viet Nam,NCA,1473.543950319946,2025,Strategy 1
384,France,LFP,32.50367112073725,2025,Strategy 1
385,France,NMC111,6077.928485640664,2025,Strategy 1
386,France,NMC622,3117.885666482185,2025,Strategy 1
387,France,NMC811,1635.5687885707066,2025,Strategy 1
388,France,NMC523,6659.458076567,2025,Strategy 1
389,France,NCA,9894.610359314931,2025,Strategy 1
390,Germany,LFP,77.99663579454113,2025,Strategy 1
391,Germany,NMC111,13100.650415372322,2025,Strategy 1
392,Germany,NMC622,6911.377863381261,2025,Strategy 1
393,Germany,NMC811,3833.4104364053674,2025,Strategy 1
394,Germany,NMC523,14447.253208337861,2025,Strategy 1
395,Germany,NCA,21900.364723986128,2025,Strategy 1
396,Hungary,LFP,0.09309277998955993,2025,Strategy 1
397,Hungary,NMC111,16.353164878984543,2025,Strategy 1
398,Hungary,NMC622,8.68329621244456,2025,Strategy 1
399,Hungary,NMC811,4.8231330815069855,2025,Strategy 1
400,Hungary,NMC523,18.052185618526686,2025,Strategy 1
401,Hungary,NCA,27.469082718119168,2025,Strategy 1
402,Italy,LFP,17.571360849400865,2025,Strategy 1
403,Italy,NMC111,3060.1661075080856,2025,Strategy 1
404,Italy,NMC622,1658.786547719293,2025,Strategy 1
405,Italy,NMC811,967.8768980071271,2025,Strategy 1
406,Italy,NMC523,3406.1970354309797,2025,Strategy 1
407,Italy,NCA,5242.107779003261,2025,Strategy 1
408,Poland,LFP,2.8782276811008027,2025,Strategy 1
409,Poland,NMC111,502.2293562533428,2025,Strategy 1
410,Poland,NMC622,271.14700982521356,2025,Strategy 1
411,Poland,NMC811,158.15593815726496,2025,Strategy 1
412,Poland,NMC523,557.426560866904,2025,Strategy 1
413,Poland,NCA,859.1614533554235,2025,Strategy 1
414,Slovakia,LFP,0.34590056487775317,2025,Strategy 1
415,Slovakia,NMC111,60.80205462285794,2025,Strategy 1
416,Slovakia,NMC622,32.26991348603289,2025,Strategy 1
417,Slovakia,NMC811,17.89849798634476,2025,Strategy 1
418,Slovakia,NMC523,67.11007990582388,2025,Strategy 1
419,Slovakia,NCA,102.08169236010686,2025,Strategy 1
420,Spain,LFP,9.164184131612396,2025,Strategy 1
421,Spain,NMC111,1631.548012988273,2025,Strategy 1
422,Spain,NMC622,843.4720401157062,2025,Strategy 1
423,Spain,NMC811,449.0576106803842,2025,Strategy 1
424,Spain,NMC523,1782.9865078403823,2025,Strategy 1
425,Spain,NCA,2669.3234972948644,2025,Strategy 1
426,Sweden,LFP,15.967049995949674,2025,Strategy 1
427,Sweden,NMC111,2633.3106103635723,2025,Strategy 1
428,Sweden,NMC622,1351.7842046948688,2025,Strategy 1
429,Sweden,NMC811,690.6345508063249,2025,Strategy 1
430,Sweden,NMC523,2877.735903915018,2025,Strategy 1
431,Sweden,NCA,4272.22214936539,2025,Strategy 1
432,United Kingdom,LFP,0.0,2025,Strategy 1
433,United Kingdom,NMC111,3246.2501174033946,2025,Strategy 1
434,United Kingdom,NMC622,1644.663223991742,2025,Strategy 1
435,United Kingdom,NMC811,1107.853462198885,2025,Strategy 1
436,United Kingdom,NMC523,3540.9491039852965,2025,Strategy 1
437,United Kingdom,NCA,10589.037167588416,2025,Strategy 1
438,Norway,LFP,0.0,2025,Strategy 1
439,Norway,NMC111,1934.8481161283023,2025,Strategy 1
440,Norway,NMC622,805.9784672889726,2025,Strategy 1
441,Norway,NMC811,432.698906490673,2025,Strategy 1
442,Norway,NMC523,1868.3301873573905,2025,Strategy 1
443,Norway,NCA,5181.889624065693,2025,Strategy 1
444,Russian Federation,LFP,0.0,2025,Strategy 1
445,Russian Federation,NMC111,473.8137194581239,2025,Strategy 1
446,Russian Federation,NMC622,193.30524765835688,2025,Strategy 1
447,Russian Federation,NMC811,93.55944286961916,2025,Strategy 1
448,Russian Federation,NMC523,463.9845820691864,2025,Strategy 1
449,Russian Federation,NCA,1182.7028790519828,2025,Strategy 1
450,Serbia,LFP,0.0,2025,Strategy 1
451,Serbia,NMC111,17.36481712042114,2025,Strategy 1
452,Serbia,NMC622,6.623055983094528,2025,Strategy 1
453,Serbia,NMC811,3.320302911628752,2025,Strategy 1
454,Serbia,NMC523,15.54042434469325,2025,Strategy 1
455,Serbia,NCA,41.96758516199757,2025,Strategy 1
456,Turkey,LFP,0.0,2025,Strategy 1
457,Turkey,NMC111,713.3859489358853,2025,Strategy 1
458,Turkey,NMC622,328.250788081956,2025,Strategy 1
459,Turkey,NMC811,183.1303216600025,2025,Strategy 1
460,Turkey,NMC523,749.1399281421608,2025,Strategy 1
461,Turkey,NCA,2000.6789791742196,2025,Strategy 1
462,USA,LFP,10.303454819175323,2025,Strategy 1
463,USA,NMC111,6325.56456192339,2025,Strategy 1
464,USA,NMC622,2965.1109605393426,2025,Strategy 1
465,USA,NMC811,2271.979425245519,2025,Strategy 1
466,USA,NMC523,6911.939870647501,2025,Strategy 1
467,USA,NCA,54703.65482703285,2025,Strategy 1
468,Canada,LFP,0.0,2025,Strategy 1
469,Canada,NMC111,1248.719152745213,2025,Strategy 1
470,Canada,NMC622,602.8156483363596,2025,Strategy 1
471,Canada,NMC811,361.7635783045187,2025,Strategy 1
472,Canada,NMC523,1322.2993451207988,2025,Strategy 1
473,Canada,NCA,3893.7313635310456,2025,Strategy 1
474,Brazil,LFP,0.0,2025,Strategy 1
475,Brazil,NMC111,335.85331720237,2025,Strategy 1
476,Brazil,NMC622,204.5802667700036,2025,Strategy 1
477,Brazil,NMC811,159.4369004686885,2025,Strategy 1
