,country,type,recycling_m,scrap,year,Strategy type
489,Switzerland,NMC111,Direct,545.3007601601282,2025,Strategy 3
499,Switzerland,NMC523,Hydro,602.9387079565231,2025,Strategy 3
492,Switzerland,NMC622,Direct,281.4360331488823,2025,Strategy 3
495,Switzerland,NMC811,Direct,186.57940803667356,2025,Strategy 3
72,Thailand,LFP,Direct,0.0,2025,Strategy 3
87,Thailand,NCA,Direct,1264.609558547867,2025,Strategy 3
75,Thailand,NMC111,Direct,517.2235229248901,2025,Strategy 3
84,Thailand,NMC523,Direct,484.86481277002105,2025,Strategy 3
78,Thailand,NMC622,Direct,201.9827993488645,2025,Strategy 3
81,Thailand,NMC811,Direct,106.39239986617821,2025,Strategy 3
324,Turkey,LFP,Direct,0.0,2025,Strategy 3
339,Turkey,NCA,Direct,2000.6789791742196,2025,Strategy 3
327,Turkey,NMC111,Direct,713.3859489358853,2025,Strategy 3
337,Turkey,NMC523,Hydro,749.1399281421608,2025,Strategy 3
330,Turkey,NMC622,Direct,328.250788081956,2025,Strategy 3
333,Turkey,NMC811,Direct,183.1303216600025,2025,Strategy 3
342,USA,LFP,Direct,10.303454819175323,2025,Strategy 3
357,USA,NCA,Direct,54703.65482703285,2025,Strategy 3
346,USA,NMC111,Hydro,6325.56456192339,2025,Strategy 3
355,USA,NMC523,Hydro,6911.939870647501,2025,Strategy 3
348,USA,NMC622,Direct,2965.1109605393426,2025,Strategy 3
351,USA,NMC811,Direct,2271.979425245519,2025,Strategy 3
252,United Kingdom,LFP,Direct,0.0,2025,Strategy 3
267,United Kingdom,NCA,Direct,10589.037167588416,2025,Strategy 3
256,United Kingdom,NMC111,Hydro,3246.2501174033946,2025,Strategy 3
265,United Kingdom,NMC523,Hydro,3540.9491039852965,2025,Strategy 3
258,United Kingdom,NMC622,Direct,1644.663223991742,2025,Strategy 3
261,United Kingdom,NMC811,Direct,1107.853462198885,2025,Strategy 3
90,Viet Nam,LFP,Direct,0.0,2025,Strategy 3
105,Viet Nam,NCA,Direct,1473.543950319946,2025,Strategy 3
93,Viet Nam,NMC111,Direct,630.4294275971235,2025,Strategy 3
103,Viet Nam,NMC523,Hydro,571.6040069363997,2025,Strategy 3
96,Viet Nam,NMC622,Direct,232.18465340045665,2025,Strategy 3
99,Viet Nam,NMC811,Direct,92.23796174607374,2025,Strategy 3
396,Australia,LFP,Direct,0.0,2025,Strategy 1
411,Australia,NCA,Direct,700.3084899252249,2025,Strategy 1
399,Australia,NMC111,Direct,205.30316443191768,2025,Strategy 1
408,Australia,NMC523,Direct,231.8088490878003,2025,Strategy 1
402,Australia,NMC622,Direct,109.24141007190042,2025,Strategy 1
405,Australia,NMC811,Direct,69.91020317540425,2025,Strategy 1
450,Belgium,LFP,Direct,7.720277108459332,2025,Strategy 1
465,Belgium,NCA,Direct,2333.4848428079617,2025,Strategy 1
454,Belgium,NMC111,Hydro,1470.1032409527545,2025,Strategy 1
463,Belgium,NMC523,Hydro,1566.027645143378,2025,Strategy 1
