iso_o,iso_d,distcap
COG,RUS,6985.611
COG,SVK,5835.125
COG,SWE,7079.398
COG,THA,9618.644
COG,TUR,5235.471
COG,USA,10505.76
COG,VNM,10251.42
COG,YUG,5486.24
COL,AUS,14362.09
COL,BEL,8874.132
COL,BRA,3756.413
COL,CAN,4539.9529999999995
COL,CHE,9070.684000000001
COL,CHN,14937.48
COL,CZE,9585.834
COL,DEU,9505.208
COL,ESP,8107.001
COL,FIN,10123.49
COL,FRA,8707.677
COL,GBR,8570.659
COL,HUN,9945.401
COL,IND,15290.56
COL,ITA,9471.443000000001
COL,JPN,14262.86
COL,KOR,14817.3
COL,NLD,8927.356
COL,NOR,9337.488000000001
COL,POL,10020.88
COL,ROM,10537.51
COL,RUS,10979.1
COL,SVK,9798.274
COL,SWE,9751.91
COL,THA,17931.82
COL,TUR,11192.37
COL,USA,3815.184
COL,VNM,17177.21
COL,YUG,10090.99
COM,AUS,10666.36
COM,BEL,7909.632
COM,BRA,9789.61
COM,CAN,13188.16
COM,CHE,7432.831999999999
COM,CHN,9456.55
COM,CZE,7426.17
COM,DEU,7694.43
COM,ESP,7547.986
COM,FIN,8155.578
COM,FRA,7842.67
COM,GBR,8177.545
COM,HUN,7009.495
COM,IND,5782.406
COM,ITA,6740.349
COM,JPN,11351.43
COM,KOR,10261.17
COM,NLD,8014.141
COM,NOR,8478.141
COM,POL,7427.664000000001
COM,ROM,6478.156
COM,RUS,7521.361999999999
COM,SVK,7140.599
COM,SWE,8219.858
COM,THA,6919.27
COM,TUR,5842.767
COM,USA,13438.86
COM,VNM,7749.041
COM,YUG,6693.943
CPV,AUS,17648.86
CPV,BEL,4712.202
CPV,BRA,4344.567
CPV,CAN,5921.625
CPV,CHE,4570.96
CPV,CHN,12655.15
CPV,CZE,5192.94
CPV,DEU,5298.168000000001
CPV,ESP,3425.4709999999995
CPV,FIN,6363.493
CPV,FRA,4452.3859999999995
CPV,GBR,4572.15
CPV,HUN,5328.774
CPV,IND,10236.65
CPV,ITA,4571.3820000000005
CPV,JPN,14133.65
CPV,KOR,13433.69
CPV,NLD,4863.254
CPV,NOR,5727.035
CPV,POL,5707.679
CPV,ROM,5692.529
CPV,RUS,6862.205
CPV,SVK,5242.804
CPV,SWE,5992.165
CPV,THA,13092.34
CPV,TUR,6104.001
CPV,USA,5840.84
CPV,VNM,13208.24
CPV,YUG,5296.776
CRI,AUS,13975.59
CRI,BEL,9046.46
CRI,BRA,4908.8240000000005
CRI,CAN,4024.094
CRI,CHE,9319.896
CRI,CHN,14090.98
CRI,CZE,9764.202
CRI,DEU,9636.827
CRI,ESP,8483.913
CRI,FIN,10079.9
CRI,FRA,8919.449
CRI,GBR,8727.511999999999
CRI,HUN,10164.74
CRI,IND,15289.71
CRI,ITA,9813.549
CRI,JPN,13182.38
CRI,KOR,13836.1
CRI,NLD,9068.949
CRI,NOR,9323.294
CRI,POL,10142.28
CRI,ROM,10792.87
CRI,RUS,10967.48
CRI,SVK,10009.22
CRI,SWE,9740.125
CRI,THA,17346.46
CRI,TUR,11500.88
CRI,USA,3290.809
CRI,VNM,16416.56
CRI,YUG,10357.81
CYM,AUS,14792.12
CYM,BEL,8069.901
CYM,BRA,5354.512
CYM,CAN,2953.789
CYM,CHE,8373.751
CYM,CHN,13188.35
CYM,CZE,8783.569
CYM,DEU,8639.749
CYM,ESP,7615.294
CYM,FIN,9030.632
CYM,FRA,7960.709
CYM,GBR,7747.743
CYM,HUN,9197.06
CYM,IND,14225.51
CYM,ITA,8907.688
CYM,JPN,12535.78
CYM,KOR,13047.52
CYM,NLD,8080.2080000000005
CYM,NOR,8284.218
CYM,POL,9137.809000000001
CYM,ROM,9834.499
CYM,RUS,9921.235
CYM,SVK,9039.496
CYM,SWE,8699.548
CYM,THA,16351.48
CYM,TUR,10559.1
CYM,USA,2218.355
CYM,VNM,15477.66
CYM,YUG,9408.886999999999
CYP,AUS,14305.42
CYP,BEL,2904.975
CYP,BRA,10252.95
CYP,CAN,8585.074
CYP,CHE,2523.252
CYP,CHN,7076.428000000001
CYP,CZE,2260.553
CYP,DEU,2493.3360000000002
CYP,ESP,3288.066
CYP,FIN,2845.0959999999995
CYP,FRA,2954.551
CYP,GBR,3223.638
CYP,HUN,1815.5739999999998
CYP,IND,4175.156
CYP,ITA,1957.84
CYP,JPN,9068.81
CYP,KOR,8012.453
CYP,NLD,2949.04
CYP,NOR,3202.21
CYP,POL,2140.1820000000002
CYP,ROM,1201.539
CYP,RUS,2316.67
CYP,SVK,1969.287
CYP,SWE,2912.2209999999995
CYP,THA,7075.253000000001
CYP,TUR,533.8339
CYP,USA,9121.958
CYP,VNM,7141.526999999999
CYP,YUG,1533.35
DNK,AUS,16052.43
DNK,BEL,767.1575
DNK,BRA,9744.198
DNK,CAN,5913.635
DNK,CHE,1033.508
DNK,CHN,7208.356
DNK,CZE,631.8411
DNK,DEU,352.9857
DNK,ESP,2074.9770000000003
DNK,FIN,884.6371
DNK,FRA,1027.609
DNK,GBR,959.5936
DNK,HUN,1011.98
DNK,IND,5852.456999999999
DNK,ITA,1534.086
DNK,JPN,8702.536
DNK,KOR,7955.016
DNK,NLD,622.9741
DNK,NOR,485.3148
DNK,POL,668.9079
DNK,ROM,1576.432
DNK,RUS,1566.362
DNK,SVK,891.5908
DNK,SWE,523.7871
DNK,THA,8628.834
DNK,TUR,2298.498
DNK,USA,6519.391
DNK,VNM,8299.982
DNK,YUG,1328.871
DOM,AUS,15779.06
DOM,BEL,7324.625
DOM,BRA,4505.733
DOM,CAN,3045.906
DOM,CHE,7564.875
DOM,CHN,13500.16
DOM,CZE,8042.32
DOM,DEU,7938.774
DOM,ESP,6688.105
DOM,FIN,8499.056999999999
DOM,FRA,7178.52
DOM,GBR,7012.195
DOM,HUN,8425.433
DOM,IND,13701.71
DOM,ITA,8029.474
DOM,JPN,13248.36
DOM,KOR,13557.66
DOM,NLD,7363.132
DOM,NOR,7717.999
DOM,POL,8451.966
DOM,ROM,9040.983
DOM,RUS,9365.754
DOM,SVK,8273.02
DOM,SWE,8134.422
DOM,THA,16291.28
DOM,TUR,9732.322
DOM,USA,2371.688
DOM,VNM,15610.19
DOM,YUG,8599.878
DZA,AUS,16998.09
DZA,BEL,1561.8829999999998
