policy_scenario,source_iso3,destination_iso3,baseline_policy,comparison_policy,delta_route_value
critical_route_policy,NLD,KOR,0.5509948080982303,38.45223137244631,37.90123656434808
critical_route_policy,OMN,CHN,0.0,2.5576747188704387,2.5576747188704387
critical_route_policy,OMN,IND,2.5576747188704387,0.0,-2.5576747188704387
critical_route_policy,PAL,CHN,0.0,0.121795705007871,0.121795705007871
critical_route_policy,PAL,IND,0.121795705007871,0.0,-0.121795705007871
critical_route_policy,PHL,CHN,304.9263185850955,0.0,-304.9263185850955
critical_route_policy,PHL,KOR,0.0,304.9263185850955,304.9263185850955
critical_route_policy,POL,KOR,0.0,60.53542807910026,60.53542807910026
critical_route_policy,PRY,CHN,0.0,2.2559378996166983,2.2559378996166983
critical_route_policy,PRY,IND,2.2559378996166983,0.0,-2.2559378996166983
critical_route_policy,QAT,CHN,0.0,0.8453410239776351,0.8453410239776351
critical_route_policy,QAT,IND,0.8453410239776351,0.0,-0.8453410239776351
critical_route_policy,RWA,CHN,0.0,0.4762627924771469,0.4762627924771469
critical_route_policy,RWA,IND,0.4762627924771469,0.0,-0.4762627924771469
critical_route_policy,SAU,CHN,0.0,35.74239904140667,35.74239904140667
critical_route_policy,SAU,IND,35.74239904140667,0.0,-35.74239904140667
critical_route_policy,SDN,CHN,0.0,0.0360532525545805,0.0360532525545805
critical_route_policy,SDN,IND,0.0360532525545805,0.0,-0.0360532525545805
critical_route_policy,SEN,CHN,0.0,7.1218705609696755,7.1218705609696755
critical_route_policy,SEN,RUS,7.1218705609696755,0.0,-7.1218705609696755
critical_route_policy,SLE,CHN,0.0,0.1023309012030284,0.1023309012030284
critical_route_policy,SLE,IND,0.1023309012030284,0.0,-0.1023309012030284
critical_route_policy,SVK,KOR,63.8076766432216,66.49397252911777,2.686295885896172
critical_route_policy,SVN,CHN,0.0,10.162359760187881,10.162359760187881
critical_route_policy,SVN,RUS,10.162359760187881,0.0,-10.162359760187881
critical_route_policy,SWZ,CHN,0.0,0.0654409419115947,0.0654409419115947
critical_route_policy,SWZ,THA,0.0654409419115947,0.0,-0.0654409419115947
critical_route_policy,SYC,CHN,0.0,0.2209279307289321,0.2209279307289321
critical_route_policy,SYC,THA,0.2209279307289321,0.0,-0.2209279307289321
critical_route_policy,TGO,CHN,0.0,1.2390931583522216,1.2390931583522216
critical_route_policy,TGO,IND,1.2390931583522216,0.0,-1.2390931583522216
critical_route_policy,TUR,JPN,0.0,165.33375644419127,165.33375644419127
critical_route_policy,TUR,KOR,179.2869875772429,0.0,-179.2869875772429
critical_route_policy,TZA,CHN,0.0,8.972608013694966,8.972608013694966
critical_route_policy,TZA,IND,8.972608013694966,0.0,-8.972608013694966
critical_route_policy,UGA,IND,44.24611034085465,0.0,-44.24611034085465
critical_route_policy,UGA,THA,0.0,44.24611034085465,44.24611034085465
critical_route_policy,URY,CHN,0.0,1.1984504908245623,1.1984504908245623
critical_route_policy,URY,THA,1.1984504908245623,0.0,-1.1984504908245623
critical_route_policy,USA,JPN,0.0,428.3574647114209,428.3574647114209
