Year,country,scenario,retired_lithium_t,collected_lithium_t,capture_loss_lithium_t,avg_collection_rate,capture_loss_share_of_retired,collected_share_of_retired
2030,Bosnia Herzegovina,high_collection,1.704186803848391,0.9105470092961951,0.7936397945521955,0.5343,0.4656999999999999,0.5342999999999999
2030,Cyprus,high_collection,6.29021149766945,5.535386117949116,0.7548253797203339,0.88,0.12,0.88
2030,Aruba,high_collection,1.0351768296268267,0.5530949800696133,0.482081849557213,0.5343,0.46569999999999984,0.5342999999999999
2030,Lesotho,high_collection,1.0156696333870594,0.5426722851187057,0.4729973482683535,0.5343,0.46569999999999995,0.5342999999999999
2030,Rwanda,high_collection,1.0105170784196145,0.5399192749995998,0.47059780342001445,0.5343,0.4657,0.5342999999999998
2030,Maldives,high_collection,0.905513652473181,0.4838159445164205,0.4216977079567603,0.5343,0.4656999999999999,0.5342999999999999
2030,Malta,high_collection,3.3832049154490527,2.9772203255951664,0.405984589853886,0.88,0.11999999999999991,0.88
2030,Fiji,high_collection,0.7606987247260049,0.4064413286211044,0.3542573961049004,0.5343,0.46569999999999995,0.5343
2030,Georgia,high_collection,0.7272953754549544,0.3885939191055819,0.3387014563493722,0.5343,0.46569999999999995,0.5342999999999997
2030,Ghana,high_collection,0.6783297347513694,0.3624315772776566,0.3158981574737127,0.5343,0.46569999999999995,0.5343
2030,Montenegro,high_collection,0.6646259032524384,0.3551096201077777,0.3095162831446604,0.5343,0.4656999999999997,0.5342999999999998
2030,Mali,high_collection,0.660431339619225,0.3528684647585518,0.3075628748606729,0.5343,0.4656999999999998,0.5342999999999999
2030,Tajikistan,high_collection,0.5724188726276676,0.3058434036449627,0.26657546898270457,0.5343,0.4656999999999996,0.5342999999999999
2030,Kuwait,high_collection,0.5651342682139299,0.30195123950670266,0.2631830287072272,0.5343,0.4657000000000001,0.5342999999999999
2030,Angola,high_collection,0.5508409829848447,0.2943143372088024,0.256526645776042,0.5343,0.46569999999999967,0.5342999999999998
2030,Seychelles,high_collection,0.46875685152793867,0.2504567857713776,0.2183000657565609,0.5343,0.4656999999999997,0.5342999999999999
2030,Grenada,high_collection,0.4077899508036862,0.2178821707144094,0.1899077800892766,0.5343,0.4656999999999999,0.5342999999999997
2030,Armenia,high_collection,0.3790078820143205,0.2025039113602515,0.176503970654069,0.5343,0.46569999999999984,0.5343000000000001
2030,Zambia,high_collection,0.374587231099763,0.20014195757660322,0.1744452735231595,0.5343,0.46569999999999967,0.5342999999999996
2030,Malaysia,high_collection,0.3660699122228963,0.1955911541006935,0.1704787581222027,0.5343,0.46569999999999967,0.5343
2030,Brunei Darussalam,high_collection,0.2645019711022958,0.1413234031599565,0.1231785679423391,0.5343,0.46569999999999984,0.5342999999999996
2030,State of Palestine,high_collection,0.25842169897098743,0.1380747137601985,0.1203469852107885,0.5343,0.46569999999999867,0.5342999999999997
2030,Sierra Leone,high_collection,0.2171219859059061,0.1160082770695255,0.1011137088363803,0.5343,0.4656999999999992,0.5342999999999994
2030,Congo,high_collection,0.1949159465397639,0.10414359023619581,0.090772356303568,0.5343,0.4656999999999997,0.5342999999999998
2030,Saint Lucia,high_collection,0.1556271697131646,0.0831515967777436,0.0724755729354206,0.5343,0.46569999999999906,0.5342999999999984
2030,Eswatini,high_collection,0.1388502114254614,0.0741876679646239,0.0646625434608373,0.5343,0.4656999999999995,0.5342999999999991
2030,Kyrgyzstan,high_collection,0.12381075711878389,0.0661520875285662,0.057658669590217496,0.5343,0.46569999999999867,0.5342999999999998
2030,Cayman Isds,high_collection,0.1101139162017463,0.0588338654265929,0.0512800507751532,0.5343,0.4656999999999995,0.5342999999999987
2030,Bahrain,high_collection,0.10889600937037061,0.0581831378065889,0.0507128715637815,0.5343,0.46569999999999917,0.534299999999999
2030,Sudan,high_collection,0.07649648054488241,0.0408720695551305,0.0356244109897516,0.5343,0.4656999999999982,0.5342999999999978
