,country,type,scrap_sum,year,Strategy type,recycling_m,CO2,CO2_em
164,Romania,NMC622,1.6809038890632193,2023,Strategy 2,Direct,2.478807863,4.166637777157188
165,Romania,NMC811,0.6176955017386859,2023,Strategy 2,Direct,2.397518212,1.480936214888977
166,Romania,NMC523,3.998550420447996,2023,Strategy 2,Direct,2.496014242,9.980438796793287
167,Romania,NCA,5.901307530680433,2023,Strategy 2,Direct,2.452491446,14.472906239209143
168,India,LFP,0.2774006172682399,2023,Strategy 3,Direct,2.252335332,0.624799211391866
169,India,NMC111,39.85269195425063,2023,Strategy 3,Direct,2.5573470780000003,101.91716531963696
170,India,NMC622,11.19896132404273,2023,Strategy 3,Direct,2.478807863,27.76007338747001
171,India,NMC811,4.969954086116613,2023,Strategy 3,Direct,2.397518212,11.915555434268397
172,India,NMC523,30.0651296506344,2023,Strategy 3,Direct,2.496014242,75.04299179555996
173,India,NCA,80.76258156931486,2023,Strategy 3,Direct,2.452491446,198.06954045562193
174,Japan,LFP,0.39267696085916365,2023,Strategy 3,Direct,2.252335332,0.8844401930054753
175,Japan,NMC111,838.4227588363309,2023,Strategy 3,Direct,2.5573470780000003,2144.1379924387898
176,Japan,NMC622,145.78917286278863,2023,Strategy 3,Direct,2.478807863,361.3833480325467
177,Japan,NMC811,27.017023810428597,2023,Strategy 3,Direct,2.397518212,64.7738066195402
178,Japan,NMC523,480.91852038359184,2023,Strategy 3,Direct,2.496014242,1200.3794761190127
179,Japan,NCA,1237.8173389294136,2023,Strategy 3,Direct,2.452491446,3035.7364354348692
180,Korea,LFP,4.342182466608213,2023,Strategy 3,Direct,2.252335332,9.780050987532587
181,Korea,NMC111,2709.201327178395,2023,Strategy 3,Direct,2.5573470780000003,6928.368097773391
182,Korea,NMC622,622.5232867866337,2023,Strategy 3,Direct,2.478807863,1543.1156181873116
183,Korea,NMC811,168.03609144313896,2023,Strategy 3,Direct,2.397518212,402.86958950822304
184,Korea,NMC523,1781.4498145512598,2023,Strategy 3,Direct,2.496014242,4446.524108528204
185,Korea,NCA,4707.126719304735,2023,Strategy 3,Direct,2.452491446,11544.188014332905
186,Thailand,LFP,0.2163575283362519,2023,Strategy 3,Direct,2.252335332,0.4873097054159313
187,Thailand,NMC111,386.49796447423677,2023,Strategy 3,Direct,2.5573470780000003,988.4094401011373
188,Thailand,NMC622,70.49564964314196,2023,Strategy 3,Direct,2.478807863,174.74517064271345
189,Thailand,NMC811,19.61790307794037,2023,Strategy 3,Direct,2.397518212,47.03427991061289
190,Thailand,NMC523,215.51698139099906,2023,Strategy 3,Direct,2.496014242,537.9334549447826
191,Thailand,NCA,603.3303033872922,2023,Strategy 3,Direct,2.452491446,1479.662408169919
192,Viet Nam,LFP,0.3043063680273929,2023,Strategy 3,Direct,2.252335332,0.6853999844606922
193,Viet Nam,NMC111,867.613338323516,2023,Strategy 3,Direct,2.5573470780000003,2218.7884355954693
194,Viet Nam,NMC622,169.58133644348143,2023,Strategy 3,Direct,2.478807863,420.35955019415024
195,Viet Nam,NMC811,36.4267486233314,2023,Strategy 3,Direct,2.397518212,87.33379322838296
196,Viet Nam,NMC523,510.639165255263,2023,Strategy 3,Direct,2.496014242,1274.562629000128
197,Viet Nam,NCA,1415.4351049863808,2023,Strategy 3,Direct,2.452491446,3471.3424873472104
198,France,LFP,30.82865907948463,2023,Strategy 3,Direct,2.252335332,69.43647808290582
199,France,NMC111,1934.5415240208572,2023,Strategy 3,Direct,2.5573470780000003,4947.294113724406
200,France,NMC622,572.422007215759,2023,Strategy 3,Direct,2.478807863,1418.924172440666
201,France,NMC811,191.58947696609516,2023,Strategy 3,Direct,2.397518212,459.3392602537677
202,France,NMC523,1461.4590501316059,2023,Strategy 3,Direct,2.496014242,3647.8226032282805
203,France,NCA,2396.6135226315027,2023,Strategy 3,Direct,2.452491446,5877.6741636216875
204,Germany,LFP,73.31202966394625,2023,Strategy 3,Direct,2.252335332,165.1232746727382
205,Germany,NMC111,4970.940427383997,2023,Strategy 3,Direct,2.5573470780000003,12712.419976882538
206,Germany,NMC622,1482.2550478394137,2023,Strategy 3,Direct,2.478807863,3674.22546755578
207,Germany,NMC811,527.9810362496346,2023,Strategy 3,Direct,2.397518212,1265.844149999131
208,Germany,NMC523,3766.128224571796,2023,Strategy 3,Direct,2.496014242,9400.309685729379
209,Germany,NCA,7211.423187736689,2023,Strategy 3,Direct,2.452491446,17685.95368141028
210,Hungary,LFP,0.1360482157713156,2023,Strategy 3,Direct,2.252335332,0.30642620323729375
211,Hungary,NMC111,2.7118136486623126,2023,Strategy 3,Direct,2.5573470780000003,6.935048710487084
212,Hungary,NMC622,1.0405530667633878,2023,Strategy 3,Direct,2.478807863,2.5793311237618495
