,source_point,dest_point,quantity,distcap,CO2,year,Strategy type
50,AUT,SVK,906.0,59.617230000000006,918.2245764600001,2024,Strategy 2
51,AND,ESP,1.0,492.9274,8.3797658,2024,Strategy 2
52,BEN,ESP,10.0,3830.115,651.11955,2024,Strategy 2
53,BFA,ESP,25.0,3132.095,1331.1403750000002,2024,Strategy 2
54,CIV,ESP,34.0,3742.5229999999997,2163.178294,2024,Strategy 2
55,DZA,ESP,158.0,706.8757,1898.6681302000004,2024,Strategy 2
56,GHA,ESP,121.0,3896.073,8014.222161000001,2024,Strategy 2
57,GIN,ESP,1.0,3637.762,61.84195400000001,2024,Strategy 2
58,MAR,ESP,54.0,762.6525,700.114995,2024,Strategy 2
59,MLI,ESP,4.0,3116.63,211.93084000000002,2024,Strategy 2
60,NER,ESP,9.0,3045.1,465.9003,2024,Strategy 2
61,NGA,ESP,386.0,3639.542,23882.674604000003,2024,Strategy 2
62,PRT,ESP,1462.0,500.9223,12449.922844200002,2024,Strategy 2
63,SEN,ESP,20.0,3164.425,1075.9045,2024,Strategy 2
64,SLE,ESP,1.0,3676.671,62.503407,2024,Strategy 2
65,TGO,ESP,20.0,3845.382,1307.4298800000001,2024,Strategy 2
66,BRN,THA,3.0,1864.9089999999999,95.110359,2024,Strategy 2
67,IDN,THA,3980.0,2316.466,156732.08956,2024,Strategy 2
68,KHM,THA,42.0,535.9692,382.6820088,2024,Strategy 2
69,LAO,THA,16.0,525.2488,142.8676736,2024,Strategy 2
70,LKA,THA,34.0,2381.501,1376.5075780000004,2024,Strategy 2
71,MYS,THA,11.0,1187.123,221.99200100000004,2024,Strategy 2
72,PHL,THA,899.0,2210.015,33775.659245,2024,Strategy 2
73,MMR,THA,80.0,575.9035,783.2287600000001,2024,Strategy 2
74,VNM,THA,6966.0,990.7018,117320.88855960002,2024,Strategy 2
75,ARM,TUR,16.0,992.1443,269.8632496,2024,Strategy 2
76,AZE,TUR,44.0,1447.681,1082.8653880000002,2024,Strategy 2
77,BDI,TUR,25.0,4832.4,2053.77,2024,Strategy 2
78,BHR,TUR,18.0,2247.209,687.645954,2024,Strategy 2
79,BWA,TUR,48.0,7234.71,5903.523360000001,2024,Strategy 2
80,CYP,TUR,3.0,533.8339,27.225528899999997,2024,Strategy 2
81,EGY,TUR,136.0,1109.213,2564.500456,2024,Strategy 2
82,ETH,TUR,70.0,3487.8379999999997,4150.52722,2024,Strategy 2
83,GEO,TUR,8.0,1026.402,139.590672,2024,Strategy 2
84,IRN,TUR,338.0,1698.194,9757.822724000001,2024,Strategy 2
85,ISR,TUR,534.0,890.1459,8080.744480200001,2024,Strategy 2
86,JOR,TUR,106.0,930.4355,1676.6447710000002,2024,Strategy 2
87,KEN,TUR,140.0,4604.907,10959.67866,2024,Strategy 2
88,KWT,TUR,88.0,1816.297,2717.180312,2024,Strategy 2
89,LBN,TUR,22.0,714.7758,267.32614920000003,2024,Strategy 2
90,LSO,TUR,4.0,7727.073,525.440964,2024,Strategy 2
91,MOZ,TUR,5.0,7334.297,623.415245,2024,Strategy 2
92,MWI,TUR,72.0,5999.491,7343.376984,2024,Strategy 2
93,PAL,TUR,2.0,945.8355,32.158407000000004,2024,Strategy 2
94,QAT,TUR,62.0,2386.131,2514.982074,2024,Strategy 2
95,RWA,TUR,35.0,4667.988,2777.4528600000003,2024,Strategy 2
96,SAU,TUR,610.0,2140.525,22197.244250000003,2024,Strategy 2
97,SDN,TUR,2.0,2713.6479999999997,92.264032,2024,Strategy 2
98,TZA,TUR,99.0,5139.468,8649.724644,2024,Strategy 2
99,UGA,TUR,228.0,4407.16,17082.15216,2024,Strategy 2
100,YEM,TUR,22.0,2945.615,1101.66001,2024,Strategy 2
101,ZAF,TUR,20.0,7323.674,2490.0491600000005,2024,Strategy 2
102,ZMB,TUR,32.0,6183.896,3364.039424,2024,Strategy 2
103,ZWE,TUR,64.0,6431.728,6997.720064000001,2024,Strategy 2
104,SWZ,TUR,1.0,7377.204000000001,125.41246800000002,2024,Strategy 2
105,ABW,USA,8.0,3007.2690000000002,408.98858400000006,2024,Strategy 2
106,BMU,USA,14.0,1322.3970000000002,314.73048600000004,2024,Strategy 2
107,BRB,USA,1.0,3340.145,56.782465,2024,Strategy 2
108,CRI,USA,114.0,3290.809,6377.587842000001,2024,Strategy 2
109,DOM,USA,59.0,2371.688,2378.803064,2024,Strategy 2
110,GRD,USA,1.0,3342.946,56.830082000000004,2024,Strategy 2
111,GTM,USA,175.0,3004.99,8939.84525,2024,Strategy 2
112,HND,USA,40.0,2935.833,1996.3664400000002,2024,Strategy 2
113,JAM,USA,33.0,2326.271,1305.038031,2024,Strategy 2
114,LCA,USA,1.0,3181.8070000000002,54.09071900000001,2024,Strategy 2
115,MEX,USA,207.0,3037.9159999999997,10690.426404,2024,Strategy 2
116,NIC,USA,45.0,3117.8579999999997,2385.16137,2024,Strategy 2
117,PAN,USA,52.0,3339.086,2951.752024,2024,Strategy 2
118,SLV,USA,52.0,3049.3779999999997,2695.650152,2024,Strategy 2
119,IRL,GBR,67.0,460.4115,524.4086985,2024,Strategy 2
0,ABW,KOR,8.0,14183.6,1928.9696000000001,2024,Strategy 3
1,AGO,KOR,35.0,12705.4,7559.713000000001,2024,Strategy 3
2,ALB,KOR,2.0,8562.792,291.134928,2024,Strategy 3
3,AND,KOR,1.0,9559.896,162.518232,2024,Strategy 3
4,ARE,KOR,1467.0,6909.236,172309.436604,2024,Strategy 3
5,ARG,KOR,620.0,19447.35,204975.06900000002,2024,Strategy 3
6,ARM,KOR,16.0,6882.943,1872.1604960000002,2024,Strategy 3
7,AUT,KOR,1879.0,8289.029,264776.453347,2024,Strategy 3
8,AZE,KOR,44.0,6461.835999999999,4833.4533280000005,2024,Strategy 3
9,BDI,KOR,25.0,10923.19,4642.355750000001,2024,Strategy 3
10,BEN,KOR,10.0,12463.68,2118.8256,2024,Strategy 3
11,BFA,KOR,25.0,12325.82,5238.4735,2024,Strategy 3
12,BGD,KOR,1.0,3800.079,64.60134300000001,2024,Strategy 3
13,BGR,KOR,11.0,8244.246,1541.674002,2024,Strategy 3
14,BHR,KOR,18.0,7136.0019999999995,2183.6166120000003,2024,Strategy 3
15,BIH,KOR,14.0,8473.069,2016.590422,2024,Strategy 3
