,country,type,scrap_sum,year,Strategy type
302,Czechia,NMC622,3.854963436444261,2023,Strategy 3
303,Czechia,NMC811,1.4120081301101546,2023,Strategy 3
304,Czechia,NMC523,9.176726471973627,2023,Strategy 3
305,Czechia,NCA,13.540259415845606,2023,Strategy 3
306,Netherlands,LFP,9.383732719553086,2023,Strategy 3
307,Netherlands,NMC111,1296.649774993484,2023,Strategy 3
308,Netherlands,NMC622,320.0912188813738,2023,Strategy 3
309,Netherlands,NMC811,93.2991513594621,2023,Strategy 3
310,Netherlands,NMC523,801.3651007706793,2023,Strategy 3
311,Netherlands,NCA,1547.6056990039028,2023,Strategy 3
312,Belgium,LFP,12.86400646517126,2023,Strategy 3
313,Belgium,NMC111,1512.8914911599009,2023,Strategy 3
314,Belgium,NMC622,380.90482938732794,2023,Strategy 3
315,Belgium,NMC811,108.22072247589557,2023,Strategy 3
316,Belgium,NMC523,1033.7053916299665,2023,Strategy 3
317,Belgium,NCA,2228.951854313867,2023,Strategy 3
318,Finland,LFP,1.5834094231089357,2023,Strategy 3
319,Finland,NMC111,147.23449602972622,2023,Strategy 3
320,Finland,NMC622,53.60629645581775,2023,Strategy 3
321,Finland,NMC811,18.040136560743242,2023,Strategy 3
322,Finland,NMC523,132.33708930131948,2023,Strategy 3
323,Finland,NCA,189.78695976659733,2023,Strategy 3
324,Switzerland,LFP,0.6092355996996099,2023,Strategy 3
325,Switzerland,NMC111,211.85973449341603,2023,Strategy 3
326,Switzerland,NMC622,55.45067657893915,2023,Strategy 3
327,Switzerland,NMC811,23.12911873031292,2023,Strategy 3
328,Switzerland,NMC523,144.6889801148194,2023,Strategy 3
329,Switzerland,NCA,427.6442908322617,2023,Strategy 3
330,Romania,LFP,0.21001907051125548,2023,Strategy 3
331,Romania,NMC111,4.329400859148668,2023,Strategy 3
332,Romania,NMC622,1.6809038890632193,2023,Strategy 3
333,Romania,NMC811,0.6176955017386859,2023,Strategy 3
334,Romania,NMC523,3.998550420447996,2023,Strategy 3
335,Romania,NCA,5.901307530680433,2023,Strategy 3
336,India,LFP,0.2774006172682399,2023,Strategy 1
337,India,NMC111,39.85269195425063,2023,Strategy 1
338,India,NMC622,11.19896132404273,2023,Strategy 1
339,India,NMC811,4.969954086116613,2023,Strategy 1
340,India,NMC523,30.0651296506344,2023,Strategy 1
341,India,NCA,80.76258156931486,2023,Strategy 1
