source_iso3,destination_iso3,scrap_t,year,policy_scenario,method,strategy,cross_border
BEL,KOR,37841.79597544731,2030,open_policy,Direct,Strategy 2,True
BRA,CHN,179634.55434881762,2030,open_policy,Direct,Strategy 2,True
BRA,IND,237331.85954242386,2030,open_policy,Direct,Strategy 2,True
BRA,RUS,39041.77430724946,2030,open_policy,Direct,Strategy 2,True
BRA,THA,10845.436539517636,2030,open_policy,Direct,Strategy 2,True
CAN,CAN,80824.34208789561,2030,open_policy,Direct,Strategy 2,False
CHE,KOR,20923.953559190428,2030,open_policy,Direct,Strategy 2,True
CHN,CHN,1815439.5866677614,2030,open_policy,Direct,Strategy 2,False
CZE,CZE,1000.0,2030,open_policy,Direct,Strategy 2,False
CZE,KOR,8252.403041357735,2030,open_policy,Direct,Strategy 2,True
DEU,KOR,295158.50131976756,2030,open_policy,Direct,Strategy 2,True
ESP,ESP,92000.0,2030,open_policy,Direct,Strategy 2,False
ESP,KOR,7914.192987318485,2030,open_policy,Direct,Strategy 2,True
FIN,KOR,10170.750723504174,2030,open_policy,Direct,Strategy 2,True
FRA,KOR,195762.56591343845,2030,open_policy,Direct,Strategy 2,True
GBR,GBR,3712.8695154902525,2030,open_policy,Direct,Strategy 2,False
GBR,JPN,143151.8088289965,2030,open_policy,Direct,Strategy 2,True
HUN,HUN,2734.2804273124434,2030,open_policy,Direct,Strategy 2,False
IND,IND,22668.140457576126,2030,open_policy,Direct,Strategy 2,False
ITA,ITA,90000.0,2030,open_policy,Direct,Strategy 2,False
ITA,KOR,113314.92554598386,2030,open_policy,Direct,Strategy 2,True
JPN,JPN,16683.11381789768,2030,open_policy,Direct,Strategy 2,False
KOR,KOR,75305.90842068812,2030,open_policy,Direct,Strategy 2,False
NLD,JPN,39255.81931893196,2030,open_policy,Direct,Strategy 2,True
NLD,KOR,4946.884804774951,2030,open_policy,Direct,Strategy 2,True
NOR,JPN,14563.628634489778,2030,open_policy,Direct,Strategy 2,True
POL,KOR,1960.7568976338953,2030,open_policy,Direct,Strategy 2,True
POL,POL,71000.0,2030,open_policy,Direct,Strategy 2,False
ROM,CHN,4380.167537796822,2030,open_policy,Direct,Strategy 2,True
RUS,RUS,8958.225692750533,2030,open_policy,Direct,Strategy 2,False
SVK,KOR,5994.019619661574,2030,open_policy,Direct,Strategy 2,True
SVK,SVK,1000.0,2030,open_policy,Direct,Strategy 2,False
SWE,KOR,35733.22133192575,2030,open_policy,Direct,Strategy 2,True
THA,THA,8882.413237693108,2030,open_policy,Direct,Strategy 2,False
TUR,KOR,6720.119859307746,2030,open_policy,Direct,Strategy 2,True
TUR,TUR,10000.0,2030,open_policy,Direct,Strategy 2,False
USA,CAN,13175.65791210439,2030,open_policy,Direct,Strategy 2,True
USA,JPN,698.94214008993,2030,open_policy,Direct,Strategy 2,True
USA,USA,539000.0,2030,open_policy,Direct,Strategy 2,False
VNM,THA,28272.150222789256,2030,open_policy,Direct,Strategy 2,True
VNM,VNM,5000.0,2030,open_policy,Direct,Strategy 2,False
YUG,CHN,322.0265151822132,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,AUS,11000.0,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,BEL,9000.0,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,BRA,10000.0,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,CHE,65000.0,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,CHN,6701223.664930441,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,DEU,185000.0,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,FIN,7000.0,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,FRA,89000.0,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,GBR,123287.13048450975,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,HUN,102265.71957268755,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,NLD,28000.0,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,NOR,148000.0,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,ROM,1000.0,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,SWE,135000.0,2030,open_policy,Direct,Strategy 2,True
Virtual_Supply,YUG,1000.0,2030,open_policy,Direct,Strategy 2,True
AUS,JPN,17646.687259594157,2030,baseline,Direct,Strategy 2,True
BEL,KOR,37841.79597544731,2030,baseline,Direct,Strategy 2,True
BRA,CHN,179634.55434881762,2030,baseline,Direct,Strategy 2,True
