year,policy_scenario,target_region,target_share_of_max,target_constraint_li_t,max_target_recovered_lithium_t,global_recovered_lithium_t,target_recovered_lithium_t,target_max_attainment_pct,route_modeled_cost,processed_scrap_t,solver_target_constraint_li_t
2040,current_policy,European Union,0.9,129641.13150525032,144045.70167250035,683402.2233655027,129641.00186411894,89.9999100000001,67195808.72182627,43973946.62217538,129641.0018641188
2040,current_policy,European Union,0.95,136843.41658887532,144045.70167250035,683402.2233655027,136843.27974545886,94.99990500000008,67617354.77411899,43973946.62217538,136843.2797454587
2040,current_policy,European Union,0.99,142605.24465577534,144045.70167250035,684931.4971351784,142605.1020505305,98.99990099999987,70024858.49759144,43973946.62217538,142605.1020505307
2040,current_policy,European Union,1.0,144045.70167250035,144045.70167250035,686371.9527114467,144045.55762679852,99.99989999999988,72914035.30893184,43973946.62217538,144045.55762679866
2040,strict_policy,United States,0.0,0.0,97324.57905313226,683402.2233655025,95317.88670152129,97.93814432989691,64397018.73337498,43973946.62217538,0.0
2040,strict_policy,United States,0.75,72993.43428984919,97324.57905313226,683402.2233655027,95317.88670152129,97.93814432989691,64397018.73337498,43973946.62217538,72993.36129641489
2040,strict_policy,United States,0.9,87592.12114781904,97324.57905313226,683402.2233655027,95317.88670152129,97.93814432989691,64397018.73337498,43973946.62217538,87592.03355569788
2040,strict_policy,United States,0.95,92458.35010047564,97324.57905313226,683402.2233655027,95317.88670152129,97.93814432989691,64397018.73337498,43973946.62217538,92458.25764212554
2040,strict_policy,United States,0.99,96351.33326260094,97324.57905313226,684435.5735752489,96351.23691126765,98.99990099999998,66193760.6459392,43973946.62217538,96351.23691126767
2040,strict_policy,United States,1.0,97324.57905313226,97324.57905313226,685408.8183925345,97324.4817285532,99.9999,68233831.27337359,43973946.62217538,97324.4817285532
2040,strict_policy,European Union,0.0,0.0,144045.70167250032,683402.2233655025,19687.7976441822,13.667743928204132,64397018.73337498,43973946.62217538,0.0
2040,strict_policy,European Union,0.75,108034.27625437523,144045.70167250032,683402.2233655027,108034.16822009906,74.99992500000006,66606282.53102855,43973946.62217538,108034.16822009897
2040,strict_policy,European Union,0.9,129641.13150525029,144045.70167250032,683402.2233655027,129641.00186411897,89.99991000000013,67461207.88045892,43973946.62217538,129641.00186411878
2040,strict_policy,European Union,0.95,136843.4165888753,144045.70167250032,683402.2233655027,136843.2797454588,94.99990500000007,67845687.49462241,43973946.62217538,136843.27974545868
2040,strict_policy,European Union,0.99,142605.2446557753,144045.70167250032,684931.4971351785,142605.1020505305,98.99990099999988,70231326.71433881,43973946.62217538,142605.10205053067
2040,strict_policy,European Union,1.0,144045.70167250032,144045.70167250032,686371.9527114464,144045.55762679846,99.99989999999987,73120503.52567914,43973946.62217538,144045.55762679863
2040,critical_route_policy,United States,0.0,0.0,97324.57905313226,683402.2233655027,95317.88670152129,97.93814432989691,63180339.07940394,43973946.62217538,0.0
2040,critical_route_policy,United States,0.75,72993.43428984919,97324.57905313226,683402.2233655025,95317.88670152129,97.93814432989691,63180339.07940394,43973946.62217538,72993.36129641489
2040,critical_route_policy,United States,0.9,87592.12114781904,97324.57905313226,683402.2233655025,95317.88670152129,97.93814432989691,63180339.07940394,43973946.62217538,87592.03355569788
2040,critical_route_policy,United States,0.95,92458.35010047564,97324.57905313226,683402.2233655025,95317.88670152126,97.93814432989689,63180339.07940394,43973946.62217538,92458.25764212554
2040,critical_route_policy,United States,0.99,96351.33326260094,97324.57905313226,684435.5735752489,96351.23691126767,98.999901,64977080.99196814,43973946.62217538,96351.23691126767
2040,critical_route_policy,United States,1.0,97324.57905313226,97324.57905313226,685408.8183925345,97324.4817285532,99.9999,67017151.61940256,43973946.62217538,97324.4817285532
2040,critical_route_policy,European Union,0.0,0.0,144045.70167250035,683402.2233655027,20044.09006495636,13.91509071928313,63180339.07940394,43973946.62217538,0.0
2040,critical_route_policy,European Union,0.75,108034.27625437526,144045.70167250035,683402.2233655027,108034.16822009906,74.99992500000003,65611671.26142481,43973946.62217538,108034.168220099
2040,critical_route_policy,European Union,0.9,129641.13150525032,144045.70167250035,683402.2233655027,129641.0018641189,89.99991000000006,66588476.74082566,43973946.62217538,129641.0018641188
