,country,type,recycling_m,scrap_sum,unit_cost,net_profit
229,Sweden,NMC523,Hydro,1373.2495204231766,11.203714665590711,-4.008767154927823
230,Sweden,NMC523,Pyro,1373.2495204231766,15.29498511278109,-11.335041598267939
231,Sweden,NCA,Direct,2004.8572425747377,8.480290847590819,1.7294124661182149
232,Sweden,NCA,Hydro,2004.8572425747377,8.801606714917389,-0.6649263042338865
233,Sweden,NCA,Pyro,2004.8572425747377,12.209996195741505,-7.4283145891831275
234,United Kingdom,LFP,Direct,43.9085330783477,47.65166899730183,-44.43110220562928
235,United Kingdom,LFP,Hydro,43.9085330783477,103.61416357673177,-102.07255943260128
236,United Kingdom,LFP,Pyro,43.9085330783477,120.66662829250541,-119.93733159311617
237,United Kingdom,NMC111,Direct,1784.5798984437552,8.87905910927588,-3.614084213711747
238,United Kingdom,NMC111,Hydro,1784.5798984437552,9.371350724307813,-1.3391919796338778
239,United Kingdom,NMC111,Pyro,1784.5798984437552,12.995080023183835,-8.498634543441257
240,United Kingdom,NMC622,Direct,675.8692686532814,13.791296635718691,-5.278296849005313
241,United Kingdom,NMC622,Hydro,675.8692686532814,17.59165946750701,-9.689276263788477
242,United Kingdom,NMC622,Pyro,675.8692686532814,23.30322888975094,-18.77571075845171
243,United Kingdom,NMC811,Direct,379.67615590473525,17.913870189065044,-7.662318894098629
244,United Kingdom,NMC811,Hydro,379.67615590473525,25.571289021450486,-17.87534573446418
245,United Kingdom,NMC811,Pyro,379.67615590473525,32.965661083603,-28.482064218612535
246,United Kingdom,NMC523,Direct,1582.9226338901456,9.375289836699146,-9.334723862256096
247,United Kingdom,NMC523,Hydro,1582.9226338901456,10.129308274577976,-2.677314183266786
248,United Kingdom,NMC523,Pyro,1582.9226338901456,13.966993729298377,-9.822538164582056
249,United Kingdom,NCA,Direct,4548.953746474756,5.808535826059797,4.6690794708964205
250,United Kingdom,NCA,Hydro,4548.953746474756,5.1076364172356294,3.2736378873883103
251,United Kingdom,NCA,Pyro,4548.953746474756,7.401904024081535,-2.4259183716431374
252,Norway,LFP,Direct,1.6809507128460666,202.09621348167138,-199.10616626884328
253,Norway,LFP,Hydro,1.6809507128460666,783.4635170766137,-782.028905250427
254,Norway,LFP,Pyro,1.6809507128460666,815.0784359262074,-814.5167492939944
255,Norway,NMC111,Direct,1621.441947475508,9.353806065163015,-4.345326997996003
256,Norway,NMC111,Hydro,1621.441947475508,10.125228946667171,-2.337384372376703
257,Norway,NMC111,Pyro,1621.441947475508,13.894987370911416,-9.579647250287996
258,Norway,NMC622,Direct,478.7683083055645,16.13982731904652,-7.876634588001784
259,Norway,NMC622,Hydro,478.7683083055645,21.911309111569636,-14.246739695557281
260,Norway,NMC622,Pyro,478.7683083055645,28.626683230953372,-24.287246594150794
261,Norway,NMC811,Direct,197.27544486735002,23.993325303380438,-13.984658051155728
262,Norway,NMC811,Hydro,197.27544486735002,38.401207503921185,-30.936561890160537
263,Norway,NMC811,Pyro,197.27544486735002,48.40938031050364,-44.12055200910263
264,Norway,NMC523,Direct,1242.485749879115,10.536296640749345,-10.747003098966687
265,Norway,NMC523,Hydro,1242.485749879115,11.983053047777863,-4.77056899565208
266,Norway,NMC523,Pyro,1242.485749879115,16.26902653336176,-12.310302732815828
267,Norway,NCA,Direct,3336.845148426493,6.7736620838040436,3.456387388597707
268,Norway,NCA,Hydro,3336.845148426493,6.412846650232932,1.738150238707011
269,Norway,NCA,Pyro,3336.845148426493,9.06016162053179,-4.277167676365215
270,Russian Federation,LFP,Direct,2.497987130450973,178.28998071590726,-175.07276880182724
271,Russian Federation,LFP,Hydro,2.497987130450973,701.3851670347972,-699.8797252192252
272,Russian Federation,LFP,Pyro,2.497987130450973,696.835676842698,-696.126443079546
273,Russian Federation,NMC111,Direct,500.8104962872559,15.789556297452558,-10.521037279800558
274,Russian Federation,NMC111,Hydro,500.8104962872559,21.413612694379026,-13.381145138957024
275,Russian Federation,NMC111,Pyro,500.8104962872559,27.929895672040875,-23.449928930800876
276,Russian Federation,NMC622,Direct,131.96612856757463,29.05672766712772,-20.54196022112272
277,Russian Federation,NMC622,Hydro,131.96612856757463,51.51521404965824,-43.614248463709444
278,Russian Federation,NMC622,Pyro,131.96612856757463,62.74426091792595,-58.23136874204595
279,Russian Federation,NMC811,Direct,41.61384357084165,49.256081427449004,-39.004601147549
280,Russian Federation,NMC811,Hydro,41.61384357084165,110.11571167926783,-102.42291661675904
281,Russian Federation,NMC811,Pyro,41.61384357084165,126.40122942502622,-121.93048250512521
282,Russian Federation,NMC523,Direct,362.5591161349024,18.303220771696566,-18.260497950316566
283,Russian Federation,NMC523,Hydro,362.5591161349024,26.487075239951988,-19.036048261098387
284,Russian Federation,NMC523,Pyro,362.5591161349024,33.97892526325422,-29.84971971590022
