Recycling_capacity,country,Direct,Hydro,Pyro
7869.3,Italy,4.20363968,3.205808,4.90511104
9987.9,Italy,3.80363968,2.905808,4.40511104
14951.6,Italy,3.40363968,2.405808,3.7051110400000002
20036.3,Italy,3.20363968,2.205808,3.30511104
30024.2,Italy,2.90363968,1.905808,2.90511104
40012.1,Italy,2.60363968,1.805808,2.60511104
50000.0,Italy,2.40363968,1.705808,2.40511104
968.5,Japan,11.07461056,13.200336,17.74749568
4963.7,Japan,3.8746105599999994,3.300336,4.94749568
7869.3,Japan,3.2746105599999997,2.300336,3.6474956800000005
9987.9,Japan,2.8746105599999994,2.000336,3.1474956800000005
14951.6,Japan,2.4746105599999995,1.500336,2.4474956800000003
20036.3,Japan,2.2746105599999997,1.3003360000000002,2.04749568
30024.2,Japan,1.9746105599999995,1.000336,1.64749568
40012.1,Japan,1.6746105599999996,0.900336,1.3474956800000002
50000.0,Japan,1.4746105599999995,0.8003359999999999,1.14749568
968.5,Netherlands,12.047376,14.1756,19.066528
4963.7,Netherlands,4.847376,4.275600000000001,6.266528000000001
7869.3,Netherlands,4.247376,3.2756000000000003,4.966528000000001
9987.9,Netherlands,3.8473759999999997,2.9756,4.466528000000001
14951.6,Netherlands,3.4473759999999998,2.4756,3.766528000000001
20036.3,Netherlands,3.247376,2.2756000000000003,3.3665280000000006
30024.2,Netherlands,2.9473759999999998,1.9756,2.9665280000000007
40012.1,Netherlands,2.647376,1.8756000000000002,2.666528000000001
50000.0,Netherlands,2.4473759999999998,1.7756,2.4665280000000007
968.5,Norway,12.073515519999999,14.217312,19.10323456
4963.7,Norway,4.87351552,4.317312,6.303234560000001
7869.3,Norway,4.27351552,3.3173120000000003,5.003234560000001
9987.9,Norway,3.8735155199999993,3.017312,4.503234560000001
14951.6,Norway,3.4735155199999994,2.517312,3.803234560000001
20036.3,Norway,3.2735155199999997,2.3173120000000003,3.4032345600000005
30024.2,Norway,2.9735155199999994,2.017312,3.0032345600000006
40012.1,Norway,2.6735155199999996,1.9173120000000001,2.7032345600000007
50000.0,Norway,2.4735155199999994,1.817312,2.5032345600000006
968.5,Poland,11.95385728,14.026368,18.93520384
4963.7,Poland,4.75385728,4.126368,6.135203840000001
7869.3,Poland,4.15385728,3.1263680000000003,4.835203840000001
9987.9,Poland,3.7538572799999996,2.826368,4.335203840000001
14951.6,Poland,3.3538572799999997,2.326368,3.635203840000001
