,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
357,Grenada,NMC523,Hydro,-1436.9026766788977,baseline,baseline
358,Grenada,NMC622,Hydro,-2374.3744943652646,baseline,baseline
359,Grenada,NMC811,Hydro,-2804.0245343325337,baseline,baseline
360,Guatemala,LFP,Hydro,0.0,baseline,baseline
361,Guatemala,NCA,Hydro,-28.88276207408193,baseline,baseline
362,Guatemala,NMC111,Hydro,-89.84512151927076,baseline,baseline
363,Guatemala,NMC523,Hydro,-77.33662564385264,baseline,baseline
364,Guatemala,NMC622,Hydro,-132.28010688947865,baseline,baseline
365,Guatemala,NMC811,Hydro,-158.16228608278715,baseline,baseline
366,Guinea,LFP,Hydro,0.0,baseline,baseline
367,Guinea,NCA,Hydro,-2821.537430255179,baseline,baseline
368,Guinea,NMC111,Hydro,-7125.638544410248,baseline,baseline
369,Guinea,NMC523,Hydro,-7300.63039394897,baseline,baseline
370,Guinea,NMC622,Hydro,-11932.57809685158,baseline,baseline
371,Guinea,NMC811,Hydro,-13999.380097468349,baseline,baseline
372,Guyana,LFP,Hydro,0.0,baseline,baseline
373,Guyana,NCA,Hydro,-59.46118949245488,baseline,baseline
374,Guyana,NMC111,Hydro,-172.22036867379686,baseline,baseline
375,Guyana,NMC523,Hydro,-147.17911421192306,baseline,baseline
376,Guyana,NMC622,Hydro,-247.07726075373103,baseline,baseline
377,Guyana,NMC811,Hydro,-292.41319350208903,baseline,baseline
378,Honduras,LFP,Hydro,0.0,baseline,baseline
379,Honduras,NCA,Hydro,-148.26180387113203,baseline,baseline
380,Honduras,NMC111,Hydro,-396.55214451544896,baseline,baseline
381,Honduras,NMC523,Hydro,-348.45815636047587,baseline,baseline
382,Honduras,NMC622,Hydro,-583.3835181616685,baseline,baseline
383,Honduras,NMC811,Hydro,-702.3243839686046,baseline,baseline
384,Hungary,LFP,Hydro,-678.4445044783798,baseline,baseline
385,Hungary,NCA,Hydro,-7.560502610257803,baseline,baseline
386,Hungary,NMC111,Hydro,-15.094896850465224,baseline,baseline
387,Hungary,NMC523,Hydro,-13.96133538705243,baseline,baseline
388,Hungary,NMC622,Hydro,-26.075563890220458,baseline,baseline
389,Hungary,NMC811,Hydro,-38.706714642101495,baseline,baseline
390,Iceland,LFP,Hydro,0.0,baseline,baseline
391,Iceland,NCA,Hydro,-28.889912259717896,baseline,baseline
392,Iceland,NMC111,Hydro,-79.14511477397474,baseline,baseline
393,Iceland,NMC523,Hydro,-70.1505610361804,baseline,baseline
394,Iceland,NMC622,Hydro,-114.8857111230005,baseline,baseline
395,Iceland,NMC811,Hydro,-136.98425394328737,baseline,baseline
396,India,LFP,Hydro,0.0,baseline,baseline
397,India,NCA,Hydro,6.766521840960758,baseline,baseline
398,India,NMC111,Hydro,2.1114838630096946,baseline,baseline
399,India,NMC523,Hydro,2.613490200323927,baseline,baseline
400,India,NMC622,Hydro,-1.4369877397729898,baseline,baseline
401,India,NMC811,Hydro,-3.8606119661339964,baseline,baseline
402,Indonesia,LFP,Hydro,0.0,baseline,baseline
403,Indonesia,NCA,Hydro,4.826210267736276,baseline,baseline
404,Indonesia,NMC111,Hydro,-4.670859563144368,baseline,baseline
405,Indonesia,NMC523,Hydro,-3.0279648917830797,baseline,baseline
406,Indonesia,NMC622,Hydro,-12.33122793492493,baseline,baseline
407,Indonesia,NMC811,Hydro,-17.59093282515736,baseline,baseline
408,Iran,LFP,Hydro,0.0,baseline,baseline
409,Iran,NCA,Hydro,-713.7700784880943,baseline,baseline
410,Iran,NMC111,Hydro,-1110.5199886291268,baseline,baseline
411,Iran,NMC523,Hydro,-2869.9308696563608,baseline,baseline
412,Iran,NMC622,Hydro,-10176.872971080482,baseline,baseline
