,source_point,dest_point,quantity,distcap,CO2,year,Strategy type,collection_scenario,recovery_efficiency_scenario
35,RUS,RUS,8958.225692750533,1554.244,236695.56507125712,2030,Strategy 2,high_collection,baseline
36,SVK,SVK,1000.0,83.2897,1415.9249,2030,Strategy 2,high_collection,baseline
37,BRA,THA,10845.436539517636,16629.35,3065993.522013269,2030,Strategy 2,high_collection,baseline
38,THA,THA,8882.413237693108,269.427,40683.753173663004,2030,Strategy 2,high_collection,baseline
39,VNM,THA,28272.150222789256,990.7018,476157.59196499124,2030,Strategy 2,high_collection,baseline
40,TUR,TUR,10000.0,332.3085,56492.44500000001,2030,Strategy 2,high_collection,baseline
41,USA,USA,539000.0,1161.074,10638921.062,2030,Strategy 2,high_collection,baseline
42,VNM,VNM,5000.0,216.4326,18396.771,2030,Strategy 2,high_collection,baseline
0,CAN,CAN,80824.34208789561,1187.996,1632322.9167518779,2030,Strategy 3,high_collection,baseline
1,USA,CAN,13175.65791210439,737.0425,165087.3373935974,2030,Strategy 3,high_collection,baseline
2,ABW,CHN,24.819339390129308,14155.35,5972.549409213138,2030,Strategy 3,high_collection,baseline
3,ALB,CHN,148.42402354726005,7686.079,19393.579098195718,2030,Strategy 3,high_collection,baseline
4,BGR,CHN,676.8918418869739,7364.447,84743.879603253,2030,Strategy 3,high_collection,baseline
5,BHS,CHN,0.0080356430415915,12659.7,1.7293901136318106,2030,Strategy 3,high_collection,baseline
6,BIH,CHN,62.31948442184624,7615.699,8068.30939826349,2030,Strategy 3,high_collection,baseline
7,BMU,CHN,0.9462929709559008,11995.19,192.96638769876873,2030,Strategy 3,high_collection,baseline
8,BOL,CHN,541.589465913574,17709.48,163051.55285172106,2030,Strategy 3,high_collection,baseline
9,BRA,CHN,242752.9522530881,16948.04,69941174.66335827,2030,Strategy 3,high_collection,baseline
10,BRB,CHN,69.96443951818505,14118.99,16793.062772518613,2030,Strategy 3,high_collection,baseline
11,CHN,CHN,1815439.5866677612,1163.707,35914875.83640047,2030,Strategy 3,high_collection,baseline
12,COL,CHN,1250.8845985223147,14937.48,317646.0824364968,2030,Strategy 3,high_collection,baseline
13,CRI,CHN,325.90245982428337,14090.98,78068.84573669128,2030,Strategy 3,high_collection,baseline
14,CYM,CHN,4.02726612464818,13188.35,902.920918315065,2030,Strategy 3,high_collection,baseline
15,DOM,CHN,419.5854721354386,13500.16,96296.00712756737,2030,Strategy 3,high_collection,baseline
16,ECU,CHN,332.8393765637618,15364.41,86935.97097639047,2030,Strategy 3,high_collection,baseline
17,EST,CHN,425.26727083277353,6372.091,46067.309734157345,2030,Strategy 3,high_collection,baseline
18,FJI,CHN,14.391189121047429,9104.002,2227.2960471866986,2030,Strategy 3,high_collection,baseline
19,GEO,CHN,26.582079099728805,5852.917,2644.9059451885064,2030,Strategy 3,high_collection,baseline
20,GRD,CHN,14.913272196177994,14245.04,3611.4827024125375,2030,Strategy 3,high_collection,baseline
21,GRL,CHN,0.4924322825668049,8400.893,70.32680556502139,2030,Strategy 3,high_collection,baseline
22,GTM,CHN,848.5417024292658,13351.5,192598.17717973382,2030,Strategy 3,high_collection,baseline
23,GUY,CHN,300.2424009192846,14808.48,75584.27101580852,2030,Strategy 3,high_collection,baseline
24,HND,CHN,117.05359251136368,13543.21,26949.78353880904,2030,Strategy 3,high_collection,baseline
25,JAM,CHN,0.9796723210896155,13446.64,223.94611733415996,2030,Strategy 3,high_collection,baseline
26,KAZ,CHN,811.9780017382318,3655.658,50461.33592393248,2030,Strategy 3,high_collection,baseline
27,KGZ,CHN,4.345252243465452,3471.802,256.4595422992533,2030,Strategy 3,high_collection,baseline
28,KIR,CHN,0.7759004111179528,7138.044,94.15299166102662,2030,Strategy 3,high_collection,baseline
29,LCA,CHN,5.670065799300402,14025.15,1351.8998968659866,2030,Strategy 3,high_collection,baseline
30,LVA,CHN,485.0974710262416,6523.571,53797.652500722215,2030,Strategy 3,high_collection,baseline
31,MDA,CHN,106.99751721687664,6742.606,12264.515726717469,2030,Strategy 3,high_collection,baseline
32,MEX,CHN,5166.242844981432,12467.17,1094943.272764342,2030,Strategy 3,high_collection,baseline
33,MKD,CHN,62.84097603234316,7531.092,8045.439921779312,2030,Strategy 3,high_collection,baseline
34,MLT,CHN,191.94036391424856,8417.788,27467.12596524091,2030,Strategy 3,high_collection,baseline
35,MNG,CHN,82.50359598878575,1172.047,1643.8675668537624,2030,Strategy 3,high_collection,baseline
36,NCL,CHN,0.1017188150863644,8648.526,14.955202888381454,2030,Strategy 3,high_collection,baseline
37,NIC,CHN,269.7041551055325,13785.57,63206.43366146899,2030,Strategy 3,high_collection,baseline
38,NPL,CHN,105.0990298013504,3160.925,5647.57256317217,2030,Strategy 3,high_collection,baseline
