,source_point,dest_point,quantity,distcap,CO2,year,Strategy type,collection_scenario,recovery_efficiency_scenario
9,BDI,KOR,27.0,10923.19,5013.744210000001,2025,Strategy 3,baseline,baseline
10,BEN,KOR,16.0,12463.68,3390.12096,2025,Strategy 3,baseline,baseline
11,BFA,KOR,41.0,12325.82,8591.09654,2025,Strategy 3,baseline,baseline
12,BGR,KOR,26.0,8244.246,3643.956732,2025,Strategy 3,baseline,baseline
13,BHR,KOR,19.0,7136.002,2304.9286460000003,2025,Strategy 3,baseline,baseline
14,BIH,KOR,21.0,8473.069,3024.8856330000003,2025,Strategy 3,baseline,baseline
15,BLR,KOR,189.0,7292.729,23431.538277,2025,Strategy 3,baseline,baseline
16,BMU,KOR,16.0,12169.14,3310.00608,2025,Strategy 3,baseline,baseline
17,BOL,KOR,168.0,17663.53,50447.04168,2025,Strategy 3,baseline,baseline
18,BRB,KOR,2.0,14359.76,488.23184000000003,2025,Strategy 3,baseline,baseline
19,BRN,KOR,5.0,3825.485,325.166225,2025,Strategy 3,baseline,baseline
20,BWA,KOR,64.0,12595.07,13703.436160000001,2025,Strategy 3,baseline,baseline
21,CHL,KOR,32.0,18375.18,9996.09792,2025,Strategy 3,baseline,baseline
22,CIV,KOR,34.0,13048.33,7541.93474,2025,Strategy 3,baseline,baseline
23,CMR,KOR,8.0,11957.9,1626.2744,2025,Strategy 3,baseline,baseline
24,COG,KOR,22.0,12217.9,4569.4946,2025,Strategy 3,baseline,baseline
25,COL,KOR,492.0,14817.3,123931.8972,2025,Strategy 3,baseline,baseline
26,CRI,KOR,127.0,13836.1,29872.139900000002,2025,Strategy 3,baseline,baseline
27,CYP,KOR,9.0,8012.453,1225.9053090000002,2025,Strategy 3,baseline,baseline
28,DNK,KOR,3697.0,7955.016,499964.800584,2025,Strategy 3,baseline,baseline
29,DOM,KOR,93.0,13557.66,21434.66046,2025,Strategy 3,baseline,baseline
30,DZA,KOR,143.0,9954.01,24198.19831,2025,Strategy 3,baseline,baseline
31,ECU,KOR,91.0,15129.37,23405.135390000003,2025,Strategy 3,baseline,baseline
32,EGY,KOR,225.0,8497.368,32502.432600000004,2025,Strategy 3,baseline,baseline
33,EST,KOR,11.0,7122.724,1331.9493880000002,2025,Strategy 3,baseline,baseline
34,ETH,KOR,82.0,9244.567,12886.926398,2025,Strategy 3,baseline,baseline
35,FJI,KOR,30.0,8202.271,4183.1582100000005,2025,Strategy 3,baseline,baseline
36,GEO,KOR,11.0,6783.199,1268.4582130000001,2025,Strategy 3,baseline,baseline
37,GHA,KOR,134.0,12774.57,29100.47046,2025,Strategy 3,baseline,baseline
38,GIN,KOR,1.0,13518.34,229.81178000000003,2025,Strategy 3,baseline,baseline
39,GRC,KOR,978.0,8528.293,141791.39941800002,2025,Strategy 3,baseline,baseline
40,GRD,KOR,2.0,14442.14,491.03276,2025,Strategy 3,baseline,baseline
41,GTM,KOR,232.0,13029.69,51389.09736000001,2025,Strategy 3,baseline,baseline
42,GUY,KOR,16.0,15077.83,4101.169760000001,2025,Strategy 3,baseline,baseline
43,HND,KOR,48.0,13268.34,10826.965440000002,2025,Strategy 3,baseline,baseline
44,HRV,KOR,22.0,8485.063,3173.413562,2025,Strategy 3,baseline,baseline
45,IDN,KOR,5959.0,5291.684,536063.4642520001,2025,Strategy 3,baseline,baseline
