draw_id,year,policy_scenario,target_region,scope,direct_share_threshold_pct,direct_entry_target_share,direct_entry_target_share_pct,direct_share_at_entry_pct,direct_share_at_95pct_target_pct,direct_share_at_100pct_target_pct,reference_entry_target_share,entry_target_share_delta_vs_reference,entry_target_share_pct_point_delta_vs_reference
0,2050,current_policy,European Union,global,5.0,0.99,99.0,23.878838654010465,0.0,46.15677290802879,0.99,0.0,0.0
0,2050,current_policy,European Union,global,20.0,0.99,99.0,23.878838654010465,0.0,46.15677290802879,0.99,0.0,0.0
0,2050,current_policy,European Union,global,50.0,,,,0.0,46.15677290802879,,,
0,2050,current_policy,European Union,target_region,5.0,0.99,99.0,52.01060604620847,0.0,99.99049998575003,0.99,0.0,0.0
0,2050,current_policy,European Union,target_region,20.0,0.99,99.0,52.01060604620847,0.0,99.99049998575003,0.99,0.0,0.0
0,2050,current_policy,European Union,target_region,50.0,0.99,99.0,52.01060604620847,0.0,99.99049998575003,0.99,0.0,0.0
0,2050,current_policy,United States,global,5.0,1.0,100.0,9.071448964847322,0.0,9.071448964847322,1.0,0.0,0.0
0,2050,current_policy,United States,global,20.0,,,,0.0,9.071448964847322,,,
0,2050,current_policy,United States,global,50.0,,,,0.0,9.071448964847322,,,
0,2050,current_policy,United States,target_region,5.0,0.99,99.0,52.015404035605705,0.0,99.99524999525003,0.99,0.0,0.0
0,2050,current_policy,United States,target_region,20.0,0.99,99.0,52.015404035605705,0.0,99.99524999525003,0.99,0.0,0.0
0,2050,current_policy,United States,target_region,50.0,0.99,99.0,52.015404035605705,0.0,99.99524999525003,0.99,0.0,0.0
0,2050,reference_policy,China,global,5.0,0.99,99.0,44.89319468107825,0.0,86.4217330485121,0.99,0.0,0.0
0,2050,reference_policy,China,global,20.0,0.99,99.0,44.89319468107825,0.0,86.4217330485121,0.99,0.0,0.0
0,2050,reference_policy,China,global,50.0,1.0,100.0,86.4217330485121,0.0,86.4217330485121,1.0,0.0,0.0
0,2050,reference_policy,China,target_region,5.0,0.99,99.0,52.0154040356034,0.0,99.99524999525096,0.99,0.0,0.0
0,2050,reference_policy,China,target_region,20.0,0.99,99.0,52.0154040356034,0.0,99.99524999525096,0.99,0.0,0.0
0,2050,reference_policy,China,target_region,50.0,0.99,99.0,52.0154040356034,0.0,99.99524999525096,0.99,0.0,0.0
0,2050,reference_policy,European Union,global,5.0,0.99,99.0,23.878838654010504,0.0,46.156772908029,0.99,0.0,0.0
0,2050,reference_policy,European Union,global,20.0,0.99,99.0,23.878838654010504,0.0,46.156772908029,0.99,0.0,0.0
0,2050,reference_policy,European Union,global,50.0,,,,0.0,46.156772908029,,,
0,2050,reference_policy,European Union,target_region,5.0,0.99,99.0,52.010606046208565,0.0,99.99049998575047,0.99,0.0,0.0
0,2050,reference_policy,European Union,target_region,20.0,0.99,99.0,52.010606046208565,0.0,99.99049998575047,0.99,0.0,0.0
0,2050,reference_policy,European Union,target_region,50.0,0.99,99.0,52.010606046208565,0.0,99.99049998575047,0.99,0.0,0.0
0,2050,reference_policy,United States,global,5.0,1.0,100.0,9.071448964847322,0.0,9.071448964847322,1.0,0.0,0.0
0,2050,reference_policy,United States,global,20.0,,,,0.0,9.071448964847322,,,
0,2050,reference_policy,United States,global,50.0,,,,0.0,9.071448964847322,,,
0,2050,reference_policy,United States,target_region,5.0,0.99,99.0,52.015404035605705,0.0,99.99524999525003,0.99,0.0,0.0
0,2050,reference_policy,United States,target_region,20.0,0.99,99.0,52.015404035605705,0.0,99.99524999525003,0.99,0.0,0.0
0,2050,reference_policy,United States,target_region,50.0,0.99,99.0,52.015404035605705,0.0,99.99524999525003,0.99,0.0,0.0
0,2050,strict_policy,China,global,5.0,0.99,99.0,10.539766087910497,0.0,20.423766826043227,0.99,0.0,0.0
0,2050,strict_policy,China,global,20.0,1.0,100.0,20.423766826043227,0.0,20.423766826043227,0.99,0.010000000000000009,1.0000000000000009
0,2050,strict_policy,China,global,50.0,,,,0.0,20.423766826043227,1.0,,
0,2050,strict_policy,China,target_region,5.0,0.99,99.0,52.02020202020311,0.0,100.0,0.99,0.0,0.0
0,2050,strict_policy,China,target_region,20.0,0.99,99.0,52.02020202020311,0.0,100.0,0.99,0.0,0.0
0,2050,strict_policy,China,target_region,50.0,0.99,99.0,52.02020202020311,0.0,100.0,0.99,0.0,0.0
0,2050,strict_policy,European Union,global,5.0,0.99,99.0,23.87883865400884,0.0,46.15677290802686,0.99,0.0,0.0
0,2050,strict_policy,European Union,global,20.0,0.99,99.0,23.87883865400884,0.0,46.15677290802686,0.99,0.0,0.0
0,2050,strict_policy,European Union,global,50.0,,,,0.0,46.15677290802686,,,
0,2050,strict_policy,European Union,target_region,5.0,0.99,99.0,52.01060604620496,0.0,99.99049998574591,0.99,0.0,0.0
0,2050,strict_policy,European Union,target_region,20.0,0.99,99.0,52.01060604620496,0.0,99.99049998574591,0.99,0.0,0.0
0,2050,strict_policy,European Union,target_region,50.0,0.99,99.0,52.01060604620496,0.0,99.99049998574591,0.99,0.0,0.0
0,2050,strict_policy,United States,global,5.0,1.0,100.0,9.071448964847328,0.0,9.071448964847328,1.0,0.0,0.0
0,2050,strict_policy,United States,global,20.0,,,,0.0,9.071448964847328,,,
0,2050,strict_policy,United States,global,50.0,,,,0.0,9.071448964847328,,,
0,2050,strict_policy,United States,target_region,5.0,0.99,99.0,52.01540403560576,0.0,99.99524999525008,0.99,0.0,0.0
0,2050,strict_policy,United States,target_region,20.0,0.99,99.0,52.01540403560576,0.0,99.99524999525008,0.99,0.0,0.0
0,2050,strict_policy,United States,target_region,50.0,0.99,99.0,52.01540403560576,0.0,99.99524999525008,0.99,0.0,0.0
